nama_rumah_sakit,alamat,kota_madya,kelurahan,kecamatan
RSUD JATI PADANG ,JALAN RAYA RAGUNAN NO. 16-17,JAKARTA SELATAN,JATIPADANG,JATIPADANG
RSUD KRAMAT JATI,JALAN RAYA IMPRES NOMOR 48,JAKARTA TIMUR,KAMPUNG TENGAH,KRAMAT JATI
RSAU DR. ESNAWAN ANTARIKSA,JL. MERPATI NO.2 KOMPLEK RAJAWALI,JAKARTA TIMUR,HALIM PERDANAKUSUMA,MAKASAR
RS TK. II M. RIDWAN MEURAKSA,JL. TAMAN MINI I RT 004 / RW 02,JAKARTA TIMUR,PINANG RANTI,MAKASAR
RS BHAYANGKARA SESPIMMA POLRI,JL. CIPUTAT RAYA NO. 40,JAKARTA SELATAN,PONDOK PINANG,KEBAYORAN LAMA
RS DR. SUYOTO PUSREHAB KEMHAN,JL. RC VETERAN RAYA RT 1/RW 1,JAKARTA SELATAN,BINTARO,PESANGGRAHAN
RS PUSAT PERTAMINA,JL. KIYAI MAJA NO. 43 RT 4/RW 8,JAKARTA SELATAN,GUNUNG,KEBAYORAN BARU
RS ADHYAKSA,JALAN HANKAM RAYA NO 60,JAKARTA TIMUR,CEGER,CIPAYUNG
RS PGI CIKINI,JL RADEN SALEH NO. 40,JAKARTA PUSAT,CIKINI,MENTENG
RS ST CAROLUS,JL. SALEMBA RAYA NO. 41,JAKARTA PUSAT,PASEBAN,SENEN
RS ABDUL RADJAK,JL. SALEMBA TENGAH 26-28,JAKARTA PUSAT,PASEBAN,SENEN
RS MITRA KELUARGA KEMAYORAN,JL. LANDAS PACU TIMUR,JAKARTA PUSAT,KEBON KOSONG,KEMAYORAN
RS HERMINA KEMAYORAN,JL. SELANGIT BLOK B-10 KAV. NO. 4,JAKARTA PUSAT,GUNUNG SAHARI,KEMAYORAN
RS HUSADA,JL. RAYA MANGGA BESAR RAYA 137-139,JAKARTA PUSAT,MANGGA DUA SELATAN,SAWAH BESAR
RS ISLAM CEMPAKA PUTIH,JL. CEMPAKA PUTIH TENGAH I / I ,JAKARTA TIMUR,CEMPAKA PUTIH TIMUR,CEMPAKA PUTIH
RS BUNDA JAKARTA,JL. TEUKU CIK DITIRO NO. 21,JAKARTA PUSAT,GONDANGDIA,MENTENG
RS KRAMAT 128,JL. KRAMAT RAYA NOMOR 128,JAKARTA PUSAT,KENARI,SENEN
RS MITRA KELUARGA KELAPA GADING,JL. BUKIT GADING RAYA KAV. II,JAKARTA UTARA,KELAPA GADING BARAT,KELAPA GADING
RS PANTAI INDAH KAPUK,JL. PANTAI INDAH UTARA 3 SEKTOR UTARA TIMUR BLOK T,JAKARTA UTARA,KAPUK MUARA,PENJARINGAN
RS ATMA JAYA,JL. PLUIT RAYA NO. 2,JAKARTA UTARA,PEJAGALAN,PENJARINGAN
RS PLUIT,JL. RAYA PLUIT SELATAN NO. 2,JAKARTA UTARA,PENJARINGAN,PENJARINGAN
RS ISLAM SUKAPURA,JL. TIPAR - CAKUNG NO. 5,JAKARTA UTARA,SUKAPURA,CILINCING
RS PEKERJA,JL. RAYA CAKUNG CILINCING,JAKARTA UTARA,SUKAPURA,CILINCING
RS HERMINA PODOMORO,JL. DANAU AGUNG 2 BLOK E3 NO. 28-30,JAKARTA UTARA,SUNTER AGUNG,TANJUNG PRIOK
RS PELABUHAN JAKARTA,JL. KRAMAT JAYA TANJUNG PRIOK,JAKARTA UTARA,TUGU UTARA,KOJA
RS MITRA KELUARGA KALIDERES,JL. PETA SELATAN NO. 1,JAKARTA BARAT,KALIDERES,KALIDERES
RS SILOAM KEBON JERUK,JL. RAYA PERJUANGAN KAV. 8,JAKARTA BARAT,KEBON JERUK,KEBON JERUK
RS PONDOK INDAH PURI INDAH,JL. PURI INDAH RAYA BLOK S-2,JAKARTA BARAT,KEMBANGAN SELATAN,KEMBANGAN
RS SUMBER WARAS,JL. KYAI TAPA NO. 1,JAKARTA BARAT,TOMANG,GROGOL PETAMBURAN
RS HERMINA DAAN MOGOT,JL. KINTAMANI RAYA NO. 2 KAWASAN DAAN MOGOT BARU,JAKARTA BARAT,KALIDERES,KALIDERES
RS CIPUTRA,JL. BOULEVARD BLOK G-01/01 CITRA 5 GARDEN CITY,JAKARTA BARAT,PEGADUNGAN,KALIDERES
RS GRH KEDOYA,JL. PANJANG ARTERI 26,JAKARTA BARAT,KEDOYA UTARA,KEBON JERUK
RS PONDOK INDAH PONDOK INDAH,JL. METRO DUTA KAV. UE PONDOK INDAH,JAKARTA SELATAN,PONDOK PINANG,KEBAYORAN BARU
RS MMC,JL. HR. RASUNA SAID KAV. C-21 KUNINGAN,JAKARTA SELATAN,KARET KUNINGAN,KECAMATAN SETIABUDI
RS MEDISTRA,JL. JENDERAL GATOT SUBROTO KAV. 59,JAKARTA SELATAN,KUNINGAN TIMUR,SETIABUDI
RS SILOAM MAMPANG PRAPATAN,JL. MAMPANG PRAPATAN RAYA NO. 12,JAKARTA SELATAN,DUREN TIGA,PANCORAN
RS MAYAPADA,JL. LEBAK BULUS 1,JAKARTA SELATAN,CILANDAK BARAT,CILANDAK
RS PRIKASIH,JL. LEBAK BULUS 1,JAKARTA SELATAN,CILANDAK BARAT,CILANDAK
RS ANDHIKA,JL. WARUNG SILA NOMOR 8 RT.006/RW.04,JAKARTA SELATAN,CIGANJUR,JAGAKARSA
RS ISLAM PONDOK KOPI,JL. RAYA PONDOK KOPI,JAKARTA TIMUR,PONDOK KOPI,DUREN SAWIT
RS HERMINA JATINEGARA,JL. JATINEGARA BARAT NO. 126,JAKARTA TIMUR,KAMPUNG MELAYU,JATINEGARA
RS KARTIKA PULOMAS,JL. PULOMAS TIMUR K. NO. 2,JAKARTA TIMUR,KAYU PUTIH,PULOGADUNG
RS HARAPAN BUNDA,JL. RAYA BOGOR KM. 22 NO. 44,JAKARTA TIMUR,RAMBUTAN,CIRACAS
RSUD SAWAH BESAR,JL. DWIWARNA RAYA NO. 6-8,JAKARTA PUSAT,KARANG ANYAR,SAWAH BESAR
RSUD CEMPAKA PUTIH,JL. RAWASARI SELATAN NO. 1,JAKARTA PUSAT,CEMPAKA PUTIH TIMUR,CEMPAKA PUTIH
RSUD PADEMANGAN,JL. BUDI MULIA RAYA NO.  2,JAKARTA UTARA,PADEMANGAN BARAT,PADEMANGAN
RSUD KEBAYORAN LAMA,JL. OETAYU RT 00 I/ RW 012,JAKARTA SELATAN,KEBAYORAN LAMA SELATAN,KEBAYORAN LAMA
RSUD CIRACAS,JL.  RAYA LAPANGAN TEMBAK,JAKARTA TIMUR,CIBUBUR,CIRACAS
RS BUDI KEMULIAAN,JL. BUDI KEMULIAAN  NO. 25,JAKARTA PUSAT,GAMBIR,GAMBIR
RS YARSI,JL. LETJEN SOEPRAPTO,JAKARTA PUSAT,CEMPAKA PUTIH TIMUR,CEMPAKA PUTIH
RS MENTENG MITRA ALIA,JL.  KALI PASIR  NO. 9,JAKARTA PUSAT,KEBON SIRIH,MENTENG
RS PRIMAYA EVASARI,JL.  RAWAMANGUN  NO.  47,JAKARTA PUSAT,RAWA SARI,CEMPAKA PUTIH
RS SATYA NEGARA,JL.  AGUNG  UTARA  RAYA  BLOK  A  NO. 1,JAKARTA UTARA,SUNTER AGUNG,TANJUNG PRIOK
RS MULYASARI,JL.  RAYA  PLUMPANG  SEMPER  NO.  19,JAKARTA UTARA,TUGU UTARA,KOJA
RS GADING PLUIT,JL. BOULEVARD  TIMUR  RAYA,JAKARTA UTARA,PEGANGSAAN DUA,KELAPA GADING
RS FIRDAUS,JL. SIAK 1 5 NO. 14 KOMPLEK BEA CUKAI,JAKARTA UTARA,SUKAPURA,CILINCING
RS DUTA INDAH,JL. TELUK GONG RAYA NO. 12,JAKARTA UTARA,PEJAGALAN,PENJARINGAN
"RS KHUSUS JIWA DR.SOEHARTO
HEERJAN",JL. PROF. DR. LATUMETEN NO. 1,JAKARTA BARAT,JELAMBAR,GROGOL PETAMBURAN
RS ROYAL TARUMA,JL. DAAN MOGOT NO. 34,JAKARTA BARAT,TANJUNG DUREN UTARA,GROGOL PETAMBURAN
RS CINTA KASIH TZU CHI,JL. KAMAI RAYA OUTER RING ROA.D,JAKARTA BARAT,CENGKARENG TIMUR,CENGKARENG
RS BINA SEHAT MANDIRI,JL. DURI RAYA NO. 22,JAKARTA BARAT,DURI KEPA,KEBON JERUK
RS BHAKTI MULIA,JL. AIPDA K. S. TUBUN NO. 79,JAKARTA BARAT,SLIPI,PALMERAH
RS JAKARTA,JL. JEND. SUDIRMAN KAV. 49,JAKARTA SELATAN,KARET SEMANGGI,SETIA BUDI
RS YADILCA KEBAYORAN LAMA,JL. CIPUTAT RAYA LLO 5,JAKARTA SELATAN,KEMAYORAN LAMA SELATAN,KEBAYORAN LAMA
PS AULIA,JL.  JCRUK RAYA  NO 15,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA
RS ZAHIRAH,JL. SIRSAK NO. 21,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA
RS PREMIER JATINEGARA,JL. RAYA JATINEGARA TIMUR NO. 85-87,JAKARTA TIMUR,RAWA BUNGA,JATINEGARA
RS HAJI JAKARTA,JL. RAYA PONDOK GEDE NO. 4,JAKARTA TIMUR,PINANG RANTI,MAKASAR
RS COLUMBIA ASIA PULOMAS,JL. KAYU PUTIH RAYA NO 1,JAKARTA TIMUR,KAYU PUTIH,PULOGADUNG
RS HARUM SISMA MEDIKA,JL. INSPEKSI TARUM BARAT,JAKARTA TIMUR,CIPINANG MELAYU,MAKASAR
RS UNIVERSITAS KRISTEN INDONESIA,JL. MAYJEN SRITOYO NO. 2,JAKARTA TIMUR,CAWANG,KRAMAT JATI
RS PENGAYOM CIPINANG,JL. RAYA BEKASI TIMUR NOMOR 170B,JAKARTA TIMUR,CIPINANG BESAR UTARA,JATINEGARA
RS OLAHRAGA NASIONAL,JL. DAMBORE NOMOR 1,JAKARTA TIMUR,CIBUBUR,CIRACAS
RS OMNI MEDICAL CENTER,JL. PULOMAS BARAT VI NO.20,JAKARTA TIMUR,KAYU PUTIH,PULOGADUNG
RS UKRIDA,JL. ARJUNA UTARA NO. 6,JAKARTA BARAT,DURI KEPA,KEBON JERUK
RS ANTAM MEDIKA,JL. PEMUDA RAYA NO. 1A,JAKARTA TIMUR,JATINEGARA KAUM,PULOGADUNG
RS HARAPAN JAYAKARTA,JL. BEKASI TIMUR RAYA NO.6 KM.18,JAKARTA TIMUR,JATINEGARA,CAKUNG
