id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_penyakit,jumlah_kasus,satuan,tahun
67,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PERTUSIS,0,ORANG,2019
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TETANUS NEONATORUM,0,ORANG,2019
69,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEPATITIS B,0,ORANG,2019
70,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SUSPEK CAMPAK,14,ORANG,2019
71,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DIFTERI,3,ORANG,2019
72,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PERTUSIS,0,ORANG,2019
73,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TETANUS NEONATORUM,0,ORANG,2019
74,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEPATITIS B,0,ORANG,2019
75,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SUSPEK CAMPAK,23,ORANG,2019
76,32,JAWA BARAT,3216,KABUPATEN BEKASI,DIFTERI,7,ORANG,2019
77,32,JAWA BARAT,3216,KABUPATEN BEKASI,PERTUSIS,0,ORANG,2019
78,32,JAWA BARAT,3216,KABUPATEN BEKASI,TETANUS NEONATORUM,0,ORANG,2019
79,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEPATITIS B,0,ORANG,2019
80,32,JAWA BARAT,3216,KABUPATEN BEKASI,SUSPEK CAMPAK,23,ORANG,2019
81,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DIFTERI,0,ORANG,2019
82,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PERTUSIS,0,ORANG,2019
83,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TETANUS NEONATORUM,0,ORANG,2019
84,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEPATITIS B,0,ORANG,2019
85,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SUSPEK CAMPAK,0,ORANG,2019
86,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DIFTERI,0,ORANG,2019
87,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PERTUSIS,0,ORANG,2019
88,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TETANUS NEONATORUM,0,ORANG,2019
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEPATITIS B,0,ORANG,2019
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SUSPEK CAMPAK,0,ORANG,2019
91,32,JAWA BARAT,3271,KOTA BOGOR,DIFTERI,10,ORANG,2019
92,32,JAWA BARAT,3271,KOTA BOGOR,PERTUSIS,3,ORANG,2019
93,32,JAWA BARAT,3271,KOTA BOGOR,TETANUS NEONATORUM,2,ORANG,2019
94,32,JAWA BARAT,3271,KOTA BOGOR,HEPATITIS B,140,ORANG,2019
95,32,JAWA BARAT,3271,KOTA BOGOR,SUSPEK CAMPAK,127,ORANG,2019
96,32,JAWA BARAT,3272,KOTA SUKABUMI,DIFTERI,2,ORANG,2019
97,32,JAWA BARAT,3272,KOTA SUKABUMI,PERTUSIS,0,ORANG,2019
98,32,JAWA BARAT,3272,KOTA SUKABUMI,TETANUS NEONATORUM,0,ORANG,2019
99,32,JAWA BARAT,3272,KOTA SUKABUMI,HEPATITIS B,26,ORANG,2019
100,32,JAWA BARAT,3272,KOTA SUKABUMI,SUSPEK CAMPAK,29,ORANG,2019
101,32,JAWA BARAT,3273,KOTA BANDUNG,DIFTERI,8,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,PERTUSIS,2,ORANG,2019
103,32,JAWA BARAT,3273,KOTA BANDUNG,TETANUS NEONATORUM,1,ORANG,2019
104,32,JAWA BARAT,3273,KOTA BANDUNG,HEPATITIS B,0,ORANG,2019
105,32,JAWA BARAT,3273,KOTA BANDUNG,SUSPEK CAMPAK,4,ORANG,2019
106,32,JAWA BARAT,3274,KOTA CIREBON,DIFTERI,12,ORANG,2019
107,32,JAWA BARAT,3274,KOTA CIREBON,PERTUSIS,0,ORANG,2019
108,32,JAWA BARAT,3274,KOTA CIREBON,TETANUS NEONATORUM,0,ORANG,2019
109,32,JAWA BARAT,3274,KOTA CIREBON,HEPATITIS B,0,ORANG,2019
110,32,JAWA BARAT,3274,KOTA CIREBON,SUSPEK CAMPAK,41,ORANG,2019
111,32,JAWA BARAT,3275,KOTA BEKASI,DIFTERI,25,ORANG,2019
112,32,JAWA BARAT,3275,KOTA BEKASI,PERTUSIS,0,ORANG,2019
113,32,JAWA BARAT,3275,KOTA BEKASI,TETANUS NEONATORUM,0,ORANG,2019
114,32,JAWA BARAT,3275,KOTA BEKASI,HEPATITIS B,45,ORANG,2019
115,32,JAWA BARAT,3275,KOTA BEKASI,SUSPEK CAMPAK,32,ORANG,2019
116,32,JAWA BARAT,3276,KOTA DEPOK,DIFTERI,0,ORANG,2019
117,32,JAWA BARAT,3276,KOTA DEPOK,PERTUSIS,0,ORANG,2019
118,32,JAWA BARAT,3276,KOTA DEPOK,TETANUS NEONATORUM,0,ORANG,2019
119,32,JAWA BARAT,3276,KOTA DEPOK,HEPATITIS B,0,ORANG,2019
120,32,JAWA BARAT,3276,KOTA DEPOK,SUSPEK CAMPAK,0,ORANG,2019
121,32,JAWA BARAT,3277,KOTA CIMAHI,DIFTERI,2,ORANG,2019
122,32,JAWA BARAT,3277,KOTA CIMAHI,PERTUSIS,0,ORANG,2019
123,32,JAWA BARAT,3277,KOTA CIMAHI,TETANUS NEONATORUM,0,ORANG,2019
124,32,JAWA BARAT,3277,KOTA CIMAHI,HEPATITIS B,0,ORANG,2019
125,32,JAWA BARAT,3277,KOTA CIMAHI,SUSPEK CAMPAK,15,ORANG,2019
126,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DIFTERI,0,ORANG,2019
127,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PERTUSIS,0,ORANG,2019
128,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TETANUS NEONATORUM,0,ORANG,2019
129,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HEPATITIS B,0,ORANG,2019
130,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SUSPEK CAMPAK,0,ORANG,2019
131,32,JAWA BARAT,3279,KOTA BANJAR,DIFTERI,0,ORANG,2019
132,32,JAWA BARAT,3279,KOTA BANJAR,PERTUSIS,0,ORANG,2019
133,32,JAWA BARAT,3279,KOTA BANJAR,TETANUS NEONATORUM,0,ORANG,2019
134,32,JAWA BARAT,3279,KOTA BANJAR,HEPATITIS B,0,ORANG,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,SUSPEK CAMPAK,4,ORANG,2019
