id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kunjungan,persentase_pengunjung,satuan,tahun
54,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KF3,100.5,PERSEN,2019
55,32,JAWA BARAT,3271,KOTA BOGOR,KF1,100.4,PERSEN,2019
56,32,JAWA BARAT,3271,KOTA BOGOR,KF2,100.8,PERSEN,2019
57,32,JAWA BARAT,3271,KOTA BOGOR,KF3,100.8,PERSEN,2019
58,32,JAWA BARAT,3272,KOTA SUKABUMI,KF1,101.2,PERSEN,2019
59,32,JAWA BARAT,3272,KOTA SUKABUMI,KF2,100.8,PERSEN,2019
60,32,JAWA BARAT,3272,KOTA SUKABUMI,KF3,100.0,PERSEN,2019
61,32,JAWA BARAT,3273,KOTA BANDUNG,KF1,101.2,PERSEN,2019
62,32,JAWA BARAT,3273,KOTA BANDUNG,KF2,101.1,PERSEN,2019
63,32,JAWA BARAT,3273,KOTA BANDUNG,KF3,101.1,PERSEN,2019
64,32,JAWA BARAT,3274,KOTA CIREBON,KF1,99.4,PERSEN,2019
65,32,JAWA BARAT,3274,KOTA CIREBON,KF2,98.7,PERSEN,2019
66,32,JAWA BARAT,3274,KOTA CIREBON,KF3,98.3,PERSEN,2019
67,32,JAWA BARAT,3275,KOTA BEKASI,KF1,91.2,PERSEN,2019
68,32,JAWA BARAT,3275,KOTA BEKASI,KF2,90.4,PERSEN,2019
69,32,JAWA BARAT,3275,KOTA BEKASI,KF3,87.4,PERSEN,2019
70,32,JAWA BARAT,3276,KOTA DEPOK,KF1,97.5,PERSEN,2019
71,32,JAWA BARAT,3276,KOTA DEPOK,KF2,96.8,PERSEN,2019
72,32,JAWA BARAT,3276,KOTA DEPOK,KF3,95.2,PERSEN,2019
73,32,JAWA BARAT,3277,KOTA CIMAHI,KF1,96.9,PERSEN,2019
74,32,JAWA BARAT,3277,KOTA CIMAHI,KF2,94.9,PERSEN,2019
75,32,JAWA BARAT,3277,KOTA CIMAHI,KF3,91.7,PERSEN,2019
76,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KF1,98.7,PERSEN,2019
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KF2,98.4,PERSEN,2019
78,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KF3,98.1,PERSEN,2019
79,32,JAWA BARAT,3279,KOTA BANJAR,KF1,100.4,PERSEN,2019
80,32,JAWA BARAT,3279,KOTA BANJAR,KF2,100.3,PERSEN,2019
81,32,JAWA BARAT,3279,KOTA BANJAR,KF3,98.1,PERSEN,2019
