id,kode_provinsi,nama_provinsi,nama_rumah_sakit,kategori_kunjungan,jumlah_kunjungan,satuan,tahun
27,32,JAWA BARAT,RS UMUM TRIMITRA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
28,32,JAWA BARAT,RS UMUM FAMILY MEDICAL CENTER,RAWAT JALAN,8891,ORANG,2019
29,32,JAWA BARAT,RS UMUM FAMILY MEDICAL CENTER,RAWAT INAP,335,ORANG,2019
30,32,JAWA BARAT,RS UMUM FAMILY MEDICAL CENTER,KUNJUNGAN GANGGUAN JIWA,85,ORANG,2019
31,32,JAWA BARAT,RS UMUM DAERAH LEUWILIANG,RAWAT JALAN,114929,ORANG,2019
32,32,JAWA BARAT,RS UMUM DAERAH LEUWILIANG,RAWAT INAP,15577,ORANG,2019
33,32,JAWA BARAT,RS UMUM DAERAH LEUWILIANG,KUNJUNGAN GANGGUAN JIWA,4245,ORANG,2019
34,32,JAWA BARAT,RS UMUM CITAMA,RAWAT JALAN,84996,ORANG,2019
35,32,JAWA BARAT,RS UMUM CITAMA,RAWAT INAP,6846,ORANG,2019
36,32,JAWA BARAT,RS UMUM CITAMA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
37,32,JAWA BARAT,RS UMUM ANNISA,RAWAT JALAN,63886,ORANG,2019
38,32,JAWA BARAT,RS UMUM ANNISA,RAWAT INAP,10200,ORANG,2019
39,32,JAWA BARAT,RS UMUM ANNISA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
40,32,JAWA BARAT,RS UMUM SENTRA MEDIKA CIBINONG,RAWAT JALAN,219288,ORANG,2019
41,32,JAWA BARAT,RS UMUM SENTRA MEDIKA CIBINONG,RAWAT INAP,14586,ORANG,2019
42,32,JAWA BARAT,RS UMUM SENTRA MEDIKA CIBINONG,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
43,32,JAWA BARAT,RS SENTOSA,RAWAT JALAN,17635,ORANG,2019
44,32,JAWA BARAT,RS SENTOSA,RAWAT INAP,3294,ORANG,2019
45,32,JAWA BARAT,RS SENTOSA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
46,32,JAWA BARAT,RS UMUM DAERAH CILEUNGSI,RAWAT JALAN,57712,ORANG,2019
47,32,JAWA BARAT,RS UMUM DAERAH CILEUNGSI,RAWAT INAP,6405,ORANG,2019
48,32,JAWA BARAT,RS UMUM DAERAH CILEUNGSI,KUNJUNGAN GANGGUAN JIWA,48,ORANG,2019
49,32,JAWA BARAT,RS UMUM DR. SISMADI,RAWAT JALAN,3937,ORANG,2019
50,32,JAWA BARAT,RS UMUM DR. SISMADI,RAWAT INAP,490,ORANG,2019
51,32,JAWA BARAT,RS UMUM DR. SISMADI,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
52,32,JAWA BARAT,RS UMUM HERMINA MEKARSARI,RAWAT JALAN,23733,ORANG,2019
53,32,JAWA BARAT,RS UMUM HERMINA MEKARSARI,RAWAT INAP,0,ORANG,2019
54,32,JAWA BARAT,RS UMUM HERMINA MEKARSARI,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
55,32,JAWA BARAT,RS IBU DAN ANAK ASSALAM,RAWAT JALAN,13313,ORANG,2019
56,32,JAWA BARAT,RS IBU DAN ANAK ASSALAM,RAWAT INAP,2758,ORANG,2019
57,32,JAWA BARAT,RS IBU DAN ANAK ASSALAM,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
58,32,JAWA BARAT,RS IBU DAN ANAK KENARI GRAHA MEDIKA,RAWAT JALAN,4046,ORANG,2019
59,32,JAWA BARAT,RS IBU DAN ANAK KENARI GRAHA MEDIKA,RAWAT INAP,2189,ORANG,2019
60,32,JAWA BARAT,RS IBU DAN ANAK KENARI GRAHA MEDIKA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
61,32,JAWA BARAT,RS UMUM PERMATA JONGGOL,RAWAT JALAN,78887,ORANG,2019
62,32,JAWA BARAT,RS UMUM PERMATA JONGGOL,RAWAT INAP,6454,ORANG,2019
63,32,JAWA BARAT,RS UMUM PERMATA JONGGOL,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
64,32,JAWA BARAT,RS UMUM KARYA BHAKTI PRATIWI,RAWAT JALAN,144699,ORANG,2019
65,32,JAWA BARAT,RS UMUM KARYA BHAKTI PRATIWI,RAWAT INAP,11944,ORANG,2019
66,32,JAWA BARAT,RS UMUM KARYA BHAKTI PRATIWI,KUNJUNGAN GANGGUAN JIWA,954,ORANG,2019
67,32,JAWA BARAT,RS UMUM RUMAH SEHAT TERPADU DOMPET DHUAFA,RAWAT JALAN,113366,ORANG,2019
68,32,JAWA BARAT,RS UMUM RUMAH SEHAT TERPADU DOMPET DHUAFA,RAWAT INAP,7626,ORANG,2019
69,32,JAWA BARAT,RS UMUM RUMAH SEHAT TERPADU DOMPET DHUAFA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
70,32,JAWA BARAT,RS EMC SENTUL,RAWAT JALAN,40410,ORANG,2019
71,32,JAWA BARAT,RS EMC SENTUL,RAWAT INAP,1936,ORANG,2019
72,32,JAWA BARAT,RS EMC SENTUL,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
73,32,JAWA BARAT,RS UMUM ASYSYIFAA,RAWAT JALAN,9592,ORANG,2019
74,32,JAWA BARAT,RS UMUM ASYSYIFAA,RAWAT INAP,0,ORANG,2019
75,32,JAWA BARAT,RS UMUM ASYSYIFAA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
76,32,JAWA BARAT,RS IBU DAN ANAK PERMATA PERTIWI,RAWAT JALAN,2448,ORANG,2019
77,32,JAWA BARAT,RS IBU DAN ANAK PERMATA PERTIWI,RAWAT INAP,495,ORANG,2019
78,32,JAWA BARAT,RS IBU DAN ANAK PERMATA PERTIWI,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
79,32,JAWA BARAT,RS HARAPAN SEHATI,RAWAT JALAN,8733,ORANG,2019
80,32,JAWA BARAT,RS HARAPAN SEHATI,RAWAT INAP,2339,ORANG,2019
81,32,JAWA BARAT,RS HARAPAN SEHATI,KUNJUNGAN GANGGUAN JIWA,3,ORANG,2019
82,32,JAWA BARAT,RS IBU DAN ANAK MELANIA,RAWAT JALAN,2646,ORANG,2019
83,32,JAWA BARAT,RS IBU DAN ANAK MELANIA,RAWAT INAP,191,ORANG,2019
84,32,JAWA BARAT,RS IBU DAN ANAK MELANIA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
85,32,JAWA BARAT,RS EKA HOSPITAL,RAWAT JALAN,4009,ORANG,2019
86,32,JAWA BARAT,RS EKA HOSPITAL,RAWAT INAP,234,ORANG,2019
87,32,JAWA BARAT,RS EKA HOSPITAL,KUNJUNGAN GANGGUAN JIWA,14,ORANG,2019
88,32,JAWA BARAT,RS UMUM DAERAH SEKARWANGI,RAWAT JALAN,0,ORANG,2019
89,32,JAWA BARAT,RS UMUM DAERAH SEKARWANGI,RAWAT INAP,0,ORANG,2019
90,32,JAWA BARAT,RS UMUM DAERAH SEKARWANGI,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
91,32,JAWA BARAT,RS UMUM DAERAH PALABUHANRATU,RAWAT JALAN,0,ORANG,2019
92,32,JAWA BARAT,RS UMUM DAERAH PALABUHANRATU,RAWAT INAP,0,ORANG,2019
93,32,JAWA BARAT,RS UMUM DAERAH PALABUHANRATU,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
94,32,JAWA BARAT,RS UMUM DAERAH JAMPANG KULON,RAWAT JALAN,65672,ORANG,2019
95,32,JAWA BARAT,RS UMUM DAERAH JAMPANG KULON,RAWAT INAP,0,ORANG,2019
96,32,JAWA BARAT,RS UMUM DAERAH JAMPANG KULON,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
97,32,JAWA BARAT,RS UMUM HERMINA,RAWAT JALAN,177382,ORANG,2019
98,32,JAWA BARAT,RS UMUM HERMINA,RAWAT INAP,0,ORANG,2019
99,32,JAWA BARAT,RS UMUM HERMINA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
100,32,JAWA BARAT,RS UMUM BETHA MEDIKA,RAWAT JALAN,0,ORANG,2019
101,32,JAWA BARAT,RS UMUM BETHA MEDIKA,RAWAT INAP,0,ORANG,2019
102,32,JAWA BARAT,RS UMUM BETHA MEDIKA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
103,32,JAWA BARAT,RS UMUM BHAKTI MEDICARE,RAWAT JALAN,143339,ORANG,2019
104,32,JAWA BARAT,RS UMUM BHAKTI MEDICARE,RAWAT INAP,0,ORANG,2019
105,32,JAWA BARAT,RS UMUM BHAKTI MEDICARE,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
106,32,JAWA BARAT,RS UMUM KARTIKA CIBADAK,RAWAT JALAN,0,ORANG,2019
107,32,JAWA BARAT,RS UMUM KARTIKA CIBADAK,RAWAT INAP,0,ORANG,2019
108,32,JAWA BARAT,RS UMUM KARTIKA CIBADAK,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
109,32,JAWA BARAT,RS UMUM DAERAH SAYANG,RAWAT JALAN,0,ORANG,2019
110,32,JAWA BARAT,RS UMUM DAERAH SAYANG,RAWAT INAP,0,ORANG,2019
111,32,JAWA BARAT,RS UMUM DAERAH SAYANG,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
112,32,JAWA BARAT,RS UMUM DAERAH CIMACAN,RAWAT JALAN,0,ORANG,2019
113,32,JAWA BARAT,RS UMUM DAERAH CIMACAN,RAWAT INAP,0,ORANG,2019
114,32,JAWA BARAT,RS UMUM DAERAH CIMACAN,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
115,32,JAWA BARAT,RS UMUM DR. HAFIZ,RAWAT JALAN,106914,ORANG,2019
116,32,JAWA BARAT,RS UMUM DR. HAFIZ,RAWAT INAP,17016,ORANG,2019
117,32,JAWA BARAT,RS UMUM DR. HAFIZ,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
118,32,JAWA BARAT,RS UMUM DAERAH PAGELARAN,RAWAT JALAN,0,ORANG,2019
119,32,JAWA BARAT,RS UMUM DAERAH PAGELARAN,RAWAT INAP,0,ORANG,2019
120,32,JAWA BARAT,RS UMUM DAERAH PAGELARAN,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
121,32,JAWA BARAT,RS UMUM DAERAH MAJALAYA,RAWAT JALAN,161470,ORANG,2019
122,32,JAWA BARAT,RS UMUM DAERAH MAJALAYA,RAWAT INAP,20937,ORANG,2019
123,32,JAWA BARAT,RS UMUM DAERAH MAJALAYA,KUNJUNGAN GANGGUAN JIWA,5581,ORANG,2019
124,32,JAWA BARAT,RS UMUM DAERAH AL IHSAN PROVINSI JAWA BARAT,RAWAT JALAN,227458,ORANG,2019
125,32,JAWA BARAT,RS UMUM DAERAH AL IHSAN PROVINSI JAWA BARAT,RAWAT INAP,25289,ORANG,2019
126,32,JAWA BARAT,RS UMUM DAERAH AL IHSAN PROVINSI JAWA BARAT,KUNJUNGAN GANGGUAN JIWA,2221,ORANG,2019
127,32,JAWA BARAT,RS UMUM DAERAH SOREANG,RAWAT JALAN,133279,ORANG,2019
128,32,JAWA BARAT,RS UMUM DAERAH SOREANG,RAWAT INAP,16080,ORANG,2019
129,32,JAWA BARAT,RS UMUM DAERAH SOREANG,KUNJUNGAN GANGGUAN JIWA,7484,ORANG,2019
130,32,JAWA BARAT,RS UMUM DAERAH CICALENGKA,RAWAT JALAN,68864,ORANG,2019
131,32,JAWA BARAT,RS UMUM DAERAH CICALENGKA,RAWAT INAP,9173,ORANG,2019
132,32,JAWA BARAT,RS UMUM DAERAH CICALENGKA,KUNJUNGAN GANGGUAN JIWA,1913,ORANG,2019
133,32,JAWA BARAT,RS UMUM BINA SEHAT,RAWAT JALAN,90010,ORANG,2019
134,32,JAWA BARAT,RS UMUM BINA SEHAT,RAWAT INAP,7024,ORANG,2019
135,32,JAWA BARAT,RS UMUM BINA SEHAT,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
136,32,JAWA BARAT,RS UMUM AMC,RAWAT JALAN,121229,ORANG,2019
137,32,JAWA BARAT,RS UMUM AMC,RAWAT INAP,17179,ORANG,2019
138,32,JAWA BARAT,RS UMUM AMC,KUNJUNGAN GANGGUAN JIWA,3680,ORANG,2019
139,32,JAWA BARAT,RS UMUM TNI AU LANUD SULAIMAN,RAWAT JALAN,45745,ORANG,2019
140,32,JAWA BARAT,RS UMUM TNI AU LANUD SULAIMAN,RAWAT INAP,1613,ORANG,2019
141,32,JAWA BARAT,RS UMUM TNI AU LANUD SULAIMAN,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
142,32,JAWA BARAT,RS UNGGUL KARSA MEDIKA,RAWAT JALAN,3451,ORANG,2019
143,32,JAWA BARAT,RS UNGGUL KARSA MEDIKA,RAWAT INAP,2280,ORANG,2019
144,32,JAWA BARAT,RS UNGGUL KARSA MEDIKA,KUNJUNGAN GANGGUAN JIWA,4,ORANG,2019
145,32,JAWA BARAT,RS UMUM DAERAH DR. SLAMET GARUT,RAWAT JALAN,0,ORANG,2019
146,32,JAWA BARAT,RS UMUM DAERAH DR. SLAMET GARUT,RAWAT INAP,0,ORANG,2019
147,32,JAWA BARAT,RS UMUM DAERAH DR. SLAMET GARUT,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
148,32,JAWA BARAT,RS UMUM TK IV GUNTUR,RAWAT JALAN,0,ORANG,2019
149,32,JAWA BARAT,RS UMUM TK IV GUNTUR,RAWAT INAP,0,ORANG,2019
150,32,JAWA BARAT,RS UMUM TK IV GUNTUR,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
151,32,JAWA BARAT,RS UMUM DAERAH PAMEUNGPEUK PROV. JABAR,RAWAT JALAN,0,ORANG,2019
152,32,JAWA BARAT,RS UMUM DAERAH PAMEUNGPEUK PROV. JABAR,RAWAT INAP,0,ORANG,2019
153,32,JAWA BARAT,RS UMUM DAERAH PAMEUNGPEUK PROV. JABAR,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
154,32,JAWA BARAT,RS UMUM NURHAYATI GARUT,RAWAT JALAN,0,ORANG,2019
155,32,JAWA BARAT,RS UMUM NURHAYATI GARUT,RAWAT INAP,0,ORANG,2019
156,32,JAWA BARAT,RS UMUM NURHAYATI GARUT,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
157,32,JAWA BARAT,RS UMUM ANNISA QUEEN,RAWAT JALAN,0,ORANG,2019
158,32,JAWA BARAT,RS UMUM ANNISA QUEEN,RAWAT INAP,0,ORANG,2019
159,32,JAWA BARAT,RS UMUM ANNISA QUEEN,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
160,32,JAWA BARAT,RS UMUM INTAN HUSADA,RAWAT JALAN,0,ORANG,2019
161,32,JAWA BARAT,RS UMUM INTAN HUSADA,RAWAT INAP,0,ORANG,2019
162,32,JAWA BARAT,RS UMUM INTAN HUSADA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
163,32,JAWA BARAT,RS UMUM DAERAH SINGAPARNA MEDIKA CITRAUTAMA,RAWAT JALAN,96075,ORANG,2019
164,32,JAWA BARAT,RS UMUM DAERAH SINGAPARNA MEDIKA CITRAUTAMA,RAWAT INAP,18769,ORANG,2019
165,32,JAWA BARAT,RS UMUM DAERAH SINGAPARNA MEDIKA CITRAUTAMA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
166,32,JAWA BARAT,RS IBU DAN ANAK RESPATI,RAWAT JALAN,5700,ORANG,2019
167,32,JAWA BARAT,RS IBU DAN ANAK RESPATI,RAWAT INAP,1263,ORANG,2019
168,32,JAWA BARAT,RS IBU DAN ANAK RESPATI,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
169,32,JAWA BARAT,RS UMUM DAERAH KAB. CIAMIS,RAWAT JALAN,0,ORANG,2019
170,32,JAWA BARAT,RS UMUM DAERAH KAB. CIAMIS,RAWAT INAP,0,ORANG,2019
171,32,JAWA BARAT,RS UMUM DAERAH KAB. CIAMIS,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
172,32,JAWA BARAT,RS UMUM PERMATA BUNDA,RAWAT JALAN,0,ORANG,2019
173,32,JAWA BARAT,RS UMUM PERMATA BUNDA,RAWAT INAP,0,ORANG,2019
174,32,JAWA BARAT,RS UMUM PERMATA BUNDA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
175,32,JAWA BARAT,RS UMUM AL - ARIF,RAWAT JALAN,0,ORANG,2019
176,32,JAWA BARAT,RS UMUM AL - ARIF,RAWAT INAP,0,ORANG,2019
177,32,JAWA BARAT,RS UMUM AL - ARIF,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
178,32,JAWA BARAT,RSU DADI KELUARGA CIAMIS,RAWAT JALAN,0,ORANG,2019
179,32,JAWA BARAT,RSU DADI KELUARGA CIAMIS,RAWAT INAP,0,ORANG,2019
180,32,JAWA BARAT,RSU DADI KELUARGA CIAMIS,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
181,32,JAWA BARAT,RS KHUSUS BEDAH RSOP CIAMIS,RAWAT JALAN,0,ORANG,2019
182,32,JAWA BARAT,RS KHUSUS BEDAH RSOP CIAMIS,RAWAT INAP,0,ORANG,2019
183,32,JAWA BARAT,RS KHUSUS BEDAH RSOP CIAMIS,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
184,32,JAWA BARAT,RS UMUM DAERAH 45 KUNINGAN,RAWAT JALAN,121806,ORANG,2019
185,32,JAWA BARAT,RS UMUM DAERAH 45 KUNINGAN,RAWAT INAP,16994,ORANG,2019
186,32,JAWA BARAT,RS UMUM DAERAH 45 KUNINGAN,KUNJUNGAN GANGGUAN JIWA,5791,ORANG,2019
187,32,JAWA BARAT,RS UMUM WIJAYA KUSUMAH,RAWAT JALAN,57104,ORANG,2019
188,32,JAWA BARAT,RS UMUM WIJAYA KUSUMAH,RAWAT INAP,11630,ORANG,2019
189,32,JAWA BARAT,RS UMUM WIJAYA KUSUMAH,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
190,32,JAWA BARAT,RS UMUM SEKAR KAMULYAN,RAWAT JALAN,85722,ORANG,2019
191,32,JAWA BARAT,RS UMUM SEKAR KAMULYAN,RAWAT INAP,11620,ORANG,2019
192,32,JAWA BARAT,RS UMUM SEKAR KAMULYAN,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
193,32,JAWA BARAT,RS UMUM JUANDA,RAWAT JALAN,61143,ORANG,2019
194,32,JAWA BARAT,RS UMUM JUANDA,RAWAT INAP,11369,ORANG,2019
195,32,JAWA BARAT,RS UMUM JUANDA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
196,32,JAWA BARAT,RS UMUM EL - SYIFA,RAWAT JALAN,12335,ORANG,2019
197,32,JAWA BARAT,RS UMUM EL - SYIFA,RAWAT INAP,2648,ORANG,2019
198,32,JAWA BARAT,RS UMUM EL - SYIFA,KUNJUNGAN GANGGUAN JIWA,3232,ORANG,2019
199,32,JAWA BARAT,RS UMUM KUNINGAN MEDICAL CENTER,RAWAT JALAN,32440,ORANG,2019
200,32,JAWA BARAT,RS UMUM KUNINGAN MEDICAL CENTER,RAWAT INAP,14705,ORANG,2019
201,32,JAWA BARAT,RS UMUM KUNINGAN MEDICAL CENTER,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
202,32,JAWA BARAT,RS UMUM DAERAH LINGGAJATI KUNINGAN,RAWAT JALAN,50769,ORANG,2019
203,32,JAWA BARAT,RS UMUM DAERAH LINGGAJATI KUNINGAN,RAWAT INAP,7988,ORANG,2019
204,32,JAWA BARAT,RS UMUM DAERAH LINGGAJATI KUNINGAN,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
205,32,JAWA BARAT,RS UMUM KMC LURAGUNG,RAWAT JALAN,12366,ORANG,2019
206,32,JAWA BARAT,RS UMUM KMC LURAGUNG,RAWAT INAP,10520,ORANG,2019
207,32,JAWA BARAT,RS UMUM KMC LURAGUNG,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
208,32,JAWA BARAT,RS JANTUNG HASNA MEDIKA KUNINGAN,RAWAT JALAN,22459,ORANG,2019
209,32,JAWA BARAT,RS JANTUNG HASNA MEDIKA KUNINGAN,RAWAT INAP,2685,ORANG,2019
210,32,JAWA BARAT,RS JANTUNG HASNA MEDIKA KUNINGAN,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
211,32,JAWA BARAT,RS MITRA HUSADA CIAWIGEBANG,RAWAT JALAN,3950,ORANG,2019
212,32,JAWA BARAT,RS MITRA HUSADA CIAWIGEBANG,RAWAT INAP,861,ORANG,2019
213,32,JAWA BARAT,RS MITRA HUSADA CIAWIGEBANG,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
214,32,JAWA BARAT,RS UMUM ARIA KAMUNING,RAWAT JALAN,27776,ORANG,2019
215,32,JAWA BARAT,RS UMUM ARIA KAMUNING,RAWAT INAP,878,ORANG,2019
216,32,JAWA BARAT,RS UMUM ARIA KAMUNING,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
217,32,JAWA BARAT,RS UMUM DAERAH WALED,RAWAT JALAN,105692,ORANG,2019
218,32,JAWA BARAT,RS UMUM DAERAH WALED,RAWAT INAP,18801,ORANG,2019
219,32,JAWA BARAT,RS UMUM DAERAH WALED,KUNJUNGAN GANGGUAN JIWA,8974,ORANG,2019
220,32,JAWA BARAT,RS PERTAMINA CIREBON,RAWAT JALAN,131566,ORANG,2019
221,32,JAWA BARAT,RS PERTAMINA CIREBON,RAWAT INAP,6842,ORANG,2019
222,32,JAWA BARAT,RS PERTAMINA CIREBON,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
223,32,JAWA BARAT,RS PARU PROVINSI JAWA BARAT,RAWAT JALAN,5610,ORANG,2019
224,32,JAWA BARAT,RS PARU PROVINSI JAWA BARAT,RAWAT INAP,925,ORANG,2019
225,32,JAWA BARAT,RS PARU PROVINSI JAWA BARAT,KUNJUNGAN GANGGUAN JIWA,3,ORANG,2019
226,32,JAWA BARAT,RS UMUM DAERAH ARJAWINANGUN,RAWAT JALAN,86418,ORANG,2019
227,32,JAWA BARAT,RS UMUM DAERAH ARJAWINANGUN,RAWAT INAP,22822,ORANG,2019
228,32,JAWA BARAT,RS UMUM DAERAH ARJAWINANGUN,KUNJUNGAN GANGGUAN JIWA,4469,ORANG,2019
229,32,JAWA BARAT,RS UMUM MITRA PLUMBON,RAWAT JALAN,191362,ORANG,2019
230,32,JAWA BARAT,RS UMUM MITRA PLUMBON,RAWAT INAP,30982,ORANG,2019
231,32,JAWA BARAT,RS UMUM MITRA PLUMBON,KUNJUNGAN GANGGUAN JIWA,4824,ORANG,2019
232,32,JAWA BARAT,RS UMUM SUMBER KASIH/HURIP,RAWAT JALAN,50669,ORANG,2019
233,32,JAWA BARAT,RS UMUM SUMBER KASIH/HURIP,RAWAT INAP,4495,ORANG,2019
234,32,JAWA BARAT,RS UMUM SUMBER KASIH/HURIP,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
235,32,JAWA BARAT,RS UMUM SUMBER WARAS,RAWAT JALAN,85455,ORANG,2019
236,32,JAWA BARAT,RS UMUM SUMBER WARAS,RAWAT INAP,13959,ORANG,2019
237,32,JAWA BARAT,RS UMUM SUMBER WARAS,KUNJUNGAN GANGGUAN JIWA,896,ORANG,2019
238,32,JAWA BARAT,RS UMUM UNIVERSITAS MUHAMMADIYAH CIREBON,RAWAT JALAN,50951,ORANG,2019
239,32,JAWA BARAT,RS UMUM UNIVERSITAS MUHAMMADIYAH CIREBON,RAWAT INAP,12564,ORANG,2019
240,32,JAWA BARAT,RS UMUM UNIVERSITAS MUHAMMADIYAH CIREBON,KUNJUNGAN GANGGUAN JIWA,2313,ORANG,2019
241,32,JAWA BARAT,RS IBU DAN ANAK KHALISHAH,RAWAT JALAN,39211,ORANG,2019
242,32,JAWA BARAT,RS IBU DAN ANAK KHALISHAH,RAWAT INAP,8737,ORANG,2019
243,32,JAWA BARAT,RS IBU DAN ANAK KHALISHAH,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
244,32,JAWA BARAT,RS JANTUNG HASNA MEDIKA,RAWAT JALAN,71676,ORANG,2019
245,32,JAWA BARAT,RS JANTUNG HASNA MEDIKA,RAWAT INAP,5862,ORANG,2019
246,32,JAWA BARAT,RS JANTUNG HASNA MEDIKA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
