id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nama_rumah_sakit,jumlah_tempat_tidur,satuan,tahun
17,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DR. SISMADI,3.0,TEMPAT TIDUR,2019
18,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM HERMINA MEKARSARI,90.0,TEMPAT TIDUR,2019
19,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK ASSALAM,52.0,TEMPAT TIDUR,2019
20,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK KENARI GRAHA MEDIKA,52.0,TEMPAT TIDUR,2019
21,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM PERMATA JONGGOL,76.0,TEMPAT TIDUR,2019
22,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM KARYA BHAKTI PRATIWI,103.0,TEMPAT TIDUR,2019
23,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM RUMAH SEHAT TERPADU DOMPET DHUAFA,76.0,TEMPAT TIDUR,2019
24,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS EMC SENTUL,42.0,TEMPAT TIDUR,2019
25,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM ASYSYIFAA,37.0,TEMPAT TIDUR,2019
26,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK PERMATA PERTIWI,43.0,TEMPAT TIDUR,2019
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS HARAPAN SEHATI,36.0,TEMPAT TIDUR,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK MELANIA,25.0,TEMPAT TIDUR,2019
29,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS EKA HOSPITAL,49.0,TEMPAT TIDUR,2019
30,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM DAERAH SEKARWANGI,199.0,TEMPAT TIDUR,2019
31,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM DAERAH PALABUHANRATU,166.0,TEMPAT TIDUR,2019
32,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM DAERAH JAMPANG KULON,146.0,TEMPAT TIDUR,2019
33,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM HERMINA,110.0,TEMPAT TIDUR,2019
34,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM BETHA MEDIKA,147.0,TEMPAT TIDUR,2019
35,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM BHAKTI MEDICARE,82.0,TEMPAT TIDUR,2019
36,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM KARTIKA CIBADAK,54.0,TEMPAT TIDUR,2019
37,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DAERAH SAYANG,516.0,TEMPAT TIDUR,2019
38,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DAERAH CIMACAN,137.0,TEMPAT TIDUR,2019
39,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DR. HAFIZ,98.0,TEMPAT TIDUR,2019
40,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DAERAH PAGELARAN,75.0,TEMPAT TIDUR,2019
41,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH MAJALAYA,191.0,TEMPAT TIDUR,2019
42,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH AL IHSAN PROVINSI JAWA BARAT,333.0,TEMPAT TIDUR,2019
43,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH SOREANG,201.0,TEMPAT TIDUR,2019
44,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH CICALENGKA,71.0,TEMPAT TIDUR,2019
45,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM BINA SEHAT,51.0,TEMPAT TIDUR,2019
46,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM AMC,213.0,TEMPAT TIDUR,2019
47,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM TNI AU LANUD SULAIMAN,21.0,TEMPAT TIDUR,2019
48,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UNGGUL KARSA MEDIKA,66.0,TEMPAT TIDUR,2019
49,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM DAERAH DR. SLAMET GARUT,449.0,TEMPAT TIDUR,2019
50,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM TK IV GUNTUR,127.0,TEMPAT TIDUR,2019
51,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM DAERAH PAMEUNGPEUK PROV. JABAR,82.0,TEMPAT TIDUR,2019
52,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM NURHAYATI GARUT,59.0,TEMPAT TIDUR,2019
53,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM ANNISA QUEEN,21.0,TEMPAT TIDUR,2019
54,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM INTAN HUSADA,61.0,TEMPAT TIDUR,2019
55,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RS UMUM DAERAH SINGAPARNA MEDIKA CITRAUTAMA,236.0,TEMPAT TIDUR,2019
56,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RS IBU DAN ANAK RESPATI,28.0,TEMPAT TIDUR,2019
57,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS UMUM DAERAH KAB. CIAMIS,285.0,TEMPAT TIDUR,2019
58,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS UMUM PERMATA BUNDA,75.0,TEMPAT TIDUR,2019
59,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS UMUM AL - ARIF,61.0,TEMPAT TIDUR,2019
60,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RSU DADI KELUARGA CIAMIS,45.0,TEMPAT TIDUR,2019
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS KHUSUS BEDAH RSOP CIAMIS,52.0,TEMPAT TIDUR,2019
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM DAERAH 45 KUNINGAN,174.0,TEMPAT TIDUR,2019
63,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM WIJAYA KUSUMAH,121.0,TEMPAT TIDUR,2019
64,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM SEKAR KAMULYAN,107.0,TEMPAT TIDUR,2019
65,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM JUANDA,117.0,TEMPAT TIDUR,2019
66,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM EL - SYIFA,86.0,TEMPAT TIDUR,2019
67,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM KUNINGAN MEDICAL CENTER,169.0,TEMPAT TIDUR,2019
68,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM DAERAH LINGGAJATI KUNINGAN,96.0,TEMPAT TIDUR,2019
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM KMC LURAGUNG,88.0,TEMPAT TIDUR,2019
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS JANTUNG HASNA MEDIKA KUNINGAN,47.0,TEMPAT TIDUR,2019
71,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS MITRA HUSADA CIAWIGEBANG,8.0,TEMPAT TIDUR,2019
72,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM ARIA KAMUNING,0.0,TEMPAT TIDUR,2019
73,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS UMUM DAERAH WALED,246.0,TEMPAT TIDUR,2019
74,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS PERTAMINA CIREBON,90.0,TEMPAT TIDUR,2019
75,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS PARU PROVINSI JAWA BARAT,108.0,TEMPAT TIDUR,2019
76,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS UMUM DAERAH ARJAWINANGUN,376.0,TEMPAT TIDUR,2019
77,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS UMUM MITRA PLUMBON,290.0,TEMPAT TIDUR,2019
78,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS UMUM SUMBER KASIH/HURIP,92.0,TEMPAT TIDUR,2019
79,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS UMUM SUMBER WARAS,186.0,TEMPAT TIDUR,2019
80,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS UMUM UNIVERSITAS MUHAMMADIYAH CIREBON,107.0,TEMPAT TIDUR,2019
81,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS IBU DAN ANAK KHALISHAH,63.0,TEMPAT TIDUR,2019
82,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS JANTUNG HASNA MEDIKA,47.0,TEMPAT TIDUR,2019
83,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS UMUM PERMATA CIREBON,130.0,TEMPAT TIDUR,2019
84,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RS UMUM DAERAH MAJALENGKA,209.0,TEMPAT TIDUR,2019
85,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RS UMUM DAERAH CIDERES,239.0,TEMPAT TIDUR,2019
86,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RS BEDAH BUDI KASIH,16.0,TEMPAT TIDUR,2019
87,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RS IBU DAN ANAK MITRA PLUMBON MAJALENGKA,34.0,TEMPAT TIDUR,2019
88,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RS UMUM DAERAH SUMEDANG,327.0,TEMPAT TIDUR,2019
89,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RS UMUM PAKUWON,109.0,TEMPAT TIDUR,2019
90,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RS UMUM HARAPAN KELUARGA,45.0,TEMPAT TIDUR,2019
91,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM DAERAH KAB. INDRAMAYU,12.0,TEMPAT TIDUR,2019
92,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM DAERAH M.A. SENTOT PATROL,117.0,TEMPAT TIDUR,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM PERMATA MEDICAL CENTER,54.0,TEMPAT TIDUR,2019
94,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM BHAYANGKARA INDRAMAYU,63.0,TEMPAT TIDUR,2019
95,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM MM INDRAMAYU,78.0,TEMPAT TIDUR,2019
96,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM PERTAMINA BALONGAN INDRAMAYU,11.0,TEMPAT TIDUR,2019
97,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM DAERAH MURSID IBNU SYAFIUDDIN,33.0,TEMPAT TIDUR,2019
98,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM SYAHID AL IRSYAD,21.0,TEMPAT TIDUR,2019
99,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS IBU DAN ANAK IRHAMNA INDRAMAYU,26.0,TEMPAT TIDUR,2019
100,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS MITRA PLUMBON INDRAMAYU,33.0,TEMPAT TIDUR,2019
101,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM SENTRA MEDIKA LANGUT,0.0,TEMPAT TIDUR,2019
102,32,JAWA BARAT,3213,KABUPATEN SUBANG,RS UMUM DAERAH SUBANG,305.0,TEMPAT TIDUR,2019
103,32,JAWA BARAT,3213,KABUPATEN SUBANG,RS UMUM PTPN VIII,108.0,TEMPAT TIDUR,2019
104,32,JAWA BARAT,3213,KABUPATEN SUBANG,RS UMUM TNI AU LANUD SURYADARMA,24.0,TEMPAT TIDUR,2019
105,32,JAWA BARAT,3213,KABUPATEN SUBANG,RS UMUM MUTIARA HATI,38.0,TEMPAT TIDUR,2019
106,32,JAWA BARAT,3213,KABUPATEN SUBANG,RS UMUM PAMANUKAN MEDICAL CENTER (PMC),68.0,TEMPAT TIDUR,2019
107,32,JAWA BARAT,3213,KABUPATEN SUBANG,RS UMUM HAJI SYAIFUL ANWAR,49.0,TEMPAT TIDUR,2019
108,32,JAWA BARAT,3213,KABUPATEN SUBANG,RS UMUM KHARISMA,27.0,TEMPAT TIDUR,2019
109,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUMAH SAKIT BERSALIN GRHA MUTIARA,31.0,TEMPAT TIDUR,2019
110,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM DAERAH BAYU ASIH,202.0,TEMPAT TIDUR,2019
111,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM SILOAM PURWAKARTA,184.0,TEMPAT TIDUR,2019
112,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM DR. ABDUL RADJAK,127.0,TEMPAT TIDUR,2019
113,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS IBU DAN ANAK ASRI,100.0,TEMPAT TIDUR,2019
114,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM RAMA HADI,83.0,TEMPAT TIDUR,2019
115,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM AMIRA,109.0,TEMPAT TIDUR,2019
116,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS IBU DAN ANAK DIAN,23.0,TEMPAT TIDUR,2019
117,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM HOLISTIC PURWAKARTA,54.0,TEMPAT TIDUR,2019
118,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM BHAKTI HUSADA II PURWAKARTA,70.0,TEMPAT TIDUR,2019
119,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM KARINA MEDIKA,73.0,TEMPAT TIDUR,2019
120,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM DAERAH KARAWANG,392.0,TEMPAT TIDUR,2019
121,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM BAYUKARTA,151.0,TEMPAT TIDUR,2019
122,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM KARYA HUSADA,133.0,TEMPAT TIDUR,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM PROKLAMASI,99.0,TEMPAT TIDUR,2019
124,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM ISLAM KARAWANG,103.0,TEMPAT TIDUR,2019
125,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM SARASWATI,59.0,TEMPAT TIDUR,2019
126,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM DELIMA ASIH SISMA MEDIKA,81.0,TEMPAT TIDUR,2019
127,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS IBU DAN ANAK DR. DJOKO PRAMONO,32.0,TEMPAT TIDUR,2019
128,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM CITRA SARI HUSADA,157.0,TEMPAT TIDUR,2019
129,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM IZZA,89.0,TEMPAT TIDUR,2019
130,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM MANDAYA,122.0,TEMPAT TIDUR,2019
131,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM DEWI SRI,169.0,TEMPAT TIDUR,2019
132,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM LIRA MEDIKA,124.0,TEMPAT TIDUR,2019
133,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM FIKRI MEDIKA,170.0,TEMPAT TIDUR,2019
134,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM PURI ASIH,68.0,TEMPAT TIDUR,2019
135,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS IBU DAN ANAK MITRA FAMILY,53.0,TEMPAT TIDUR,2019
136,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM HELSA,54.0,TEMPAT TIDUR,2019
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS IBU DAN ANAK SENTUL,50.0,TEMPAT TIDUR,2019
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM ROSELA,53.0,TEMPAT TIDUR,2019
139,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM SENTRAL MEDIKA,53.0,TEMPAT TIDUR,2019
140,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM AMANDA MITRA KELUARGA,37.0,TEMPAT TIDUR,2019
141,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM BHAKTI HUSADA,90.0,TEMPAT TIDUR,2019
142,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM KARYA MEDIKA,112.0,TEMPAT TIDUR,2019
143,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM ANNISA,152.0,TEMPAT TIDUR,2019
144,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM SILOAM,85.0,TEMPAT TIDUR,2019
145,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM SENTRA MEDIKA,120.0,TEMPAT TIDUR,2019
146,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM HOSANA MEDICA,126.0,TEMPAT TIDUR,2019
147,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM DAERAH KAB.BEKASI,192.0,TEMPAT TIDUR,2019
148,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM HERMINA GRAND WISATA,150.0,TEMPAT TIDUR,2019
149,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM MEDIROSSA CIKARANG,104.0,TEMPAT TIDUR,2019
150,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM KARTIKA HUSADA,56.0,TEMPAT TIDUR,2019
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM KARYA MEDIKA II,90.0,TEMPAT TIDUR,2019
152,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM MULTAZAM MEDIKA,52.0,TEMPAT TIDUR,2019
153,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM HARAPAN KELUARGA JABABEKA,92.0,TEMPAT TIDUR,2019
154,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS AMANDA CIKARANG SELATAN,72.0,TEMPAT TIDUR,2019
155,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM DOKTER ADAM TALIB,0.0,TEMPAT TIDUR,2019
156,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM MITRA KELUARGA CIKARANG,117.0,TEMPAT TIDUR,2019
157,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM ASRI MEDIKA,23.0,TEMPAT TIDUR,2019
158,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS IBU DAN ANAK NURUL ANNISA,35.0,TEMPAT TIDUR,2019
159,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS MITRA MEDIKA NAROM,51.0,TEMPAT TIDUR,2019
160,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UNI MEDIKA SETU BEKASI,30.0,TEMPAT TIDUR,2019
161,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM CIBITUNG MEDIKA,175.0,TEMPAT TIDUR,2019
162,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM METRO HOSPITALS,59.0,TEMPAT TIDUR,2019
163,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS IBU DAN ANAK CAHAYA MEDIKA,29.0,TEMPAT TIDUR,2019
164,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM HARAPAN MULIA,67.0,TEMPAT TIDUR,2019
165,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM CIKARANG MEDIKA,57.0,TEMPAT TIDUR,2019
166,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM KARTIKA HUSADA SETU,65.0,TEMPAT TIDUR,2019
167,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM AMANDA,44.0,TEMPAT TIDUR,2019
168,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM RIDHOKA SALMA,69.0,TEMPAT TIDUR,2019
169,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM PERMATA KELUARGA LIPPO CIKARANG,87.0,TEMPAT TIDUR,2019
170,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM TIARA,66.0,TEMPAT TIDUR,2019
171,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM AS-SHOFWAN,35.0,TEMPAT TIDUR,2019
172,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM MEDIROSSA 2,84.0,TEMPAT TIDUR,2019
173,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM PUSPA HUSADA,21.0,TEMPAT TIDUR,2019
174,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS IBU DAN ANAK GIZAR,22.0,TEMPAT TIDUR,2019
175,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM BUNDA MULIA,40.0,TEMPAT TIDUR,2019
176,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM KASIH INSANI SUKATANI,32.0,TEMPAT TIDUR,2019
177,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS IBU DAN ANAK SAYANG BUNDA,22.0,TEMPAT TIDUR,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM BUDI ASIH,32.0,TEMPAT TIDUR,2019
179,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM OMNI CIKARANG,64.0,TEMPAT TIDUR,2019
180,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM TARUMAJAYA,54.0,TEMPAT TIDUR,2019
181,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM PINNA,55.0,TEMPAT TIDUR,2019
182,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM DR. IQBALI TAUFAN,0.0,TEMPAT TIDUR,2019
183,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM DAERAH CABANGBUNGIN,30.0,TEMPAT TIDUR,2019
184,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM PERMATA KELUARGA JABABEKA,83.0,TEMPAT TIDUR,2019
185,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS GRHA MM2100,109.0,TEMPAT TIDUR,2019
186,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS CENKA,38.0,TEMPAT TIDUR,2019
187,32,JAWA BARAT,3216,KABUPATEN BEKASI,RSIA AISYAH QURRATAAIN,54.0,TEMPAT TIDUR,2019
188,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS ANANDA BABELAN,119.0,TEMPAT TIDUR,2019
189,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS EKA HOSPITAL BEKASI,54.0,TEMPAT TIDUR,2019
190,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS JIWA PROVINSI JAWA BARAT,152.0,TEMPAT TIDUR,2019
191,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS UMUM CAHYA KAWALUYAN,122.0,TEMPAT TIDUR,2019
192,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS UMUM DAERAH CILILIN,70.0,TEMPAT TIDUR,2019
193,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS UMUM DAERAH LEMBANG,55.0,TEMPAT TIDUR,2019
194,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS UMUM KARISMA,68.0,TEMPAT TIDUR,2019
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS UMUM IMC,40.0,TEMPAT TIDUR,2019
196,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS UMUM DAERAH CIKALONG WETAN,55.0,TEMPAT TIDUR,2019
197,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS IBU DAN ANAK KARTINI,27.0,TEMPAT TIDUR,2019
198,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-,,TEMPAT TIDUR,2019
199,32,JAWA BARAT,3271,KOTA BOGOR,RS UMUM ISLAM BOGOR,114.0,TEMPAT TIDUR,2019
200,32,JAWA BARAT,3271,KOTA BOGOR,RS UMUM PMI BOGOR,220.0,TEMPAT TIDUR,2019
201,32,JAWA BARAT,3271,KOTA BOGOR,RS UMUM SALAK,170.0,TEMPAT TIDUR,2019
202,32,JAWA BARAT,3271,KOTA BOGOR,RS JIWA DR. H. MARZOEKI MAHDI,496.0,TEMPAT TIDUR,2019
203,32,JAWA BARAT,3271,KOTA BOGOR,RS UMUM AZRA,97.0,TEMPAT TIDUR,2019
204,32,JAWA BARAT,3271,KOTA BOGOR,RS UMUM DAERAH KOTA BOGOR,255.0,TEMPAT TIDUR,2019
