id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jumlah_kematian,satuan,tahun
47,32,JAWA BARAT,3216,KABUPATEN BEKASI,20-34 TAHUN,7.0,JIWA,2012
48,32,JAWA BARAT,3216,KABUPATEN BEKASI,>=35 TAHUN,1.0,JIWA,2012
49,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,< 20 TAHUN,0.0,JIWA,2012
50,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20-34 TAHUN,3.0,JIWA,2012
51,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,>=35 TAHUN,1.0,JIWA,2012
52,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,< 20 TAHUN,,JIWA,2012
53,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,20-34 TAHUN,,JIWA,2012
54,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,>=35 TAHUN,,JIWA,2012
55,32,JAWA BARAT,3271,KOTA BOGOR,< 20 TAHUN,0.0,JIWA,2012
56,32,JAWA BARAT,3271,KOTA BOGOR,20-34 TAHUN,2.0,JIWA,2012
57,32,JAWA BARAT,3271,KOTA BOGOR,>=35 TAHUN,2.0,JIWA,2012
58,32,JAWA BARAT,3272,KOTA SUKABUMI,< 20 TAHUN,0.0,JIWA,2012
59,32,JAWA BARAT,3272,KOTA SUKABUMI,20-34 TAHUN,0.0,JIWA,2012
60,32,JAWA BARAT,3272,KOTA SUKABUMI,>=35 TAHUN,3.0,JIWA,2012
61,32,JAWA BARAT,3273,KOTA BANDUNG,< 20 TAHUN,0.0,JIWA,2012
62,32,JAWA BARAT,3273,KOTA BANDUNG,20-34 TAHUN,5.0,JIWA,2012
63,32,JAWA BARAT,3273,KOTA BANDUNG,>=35 TAHUN,2.0,JIWA,2012
64,32,JAWA BARAT,3274,KOTA CIREBON,< 20 TAHUN,0.0,JIWA,2012
65,32,JAWA BARAT,3274,KOTA CIREBON,20-34 TAHUN,0.0,JIWA,2012
66,32,JAWA BARAT,3274,KOTA CIREBON,>=35 TAHUN,0.0,JIWA,2012
67,32,JAWA BARAT,3275,KOTA BEKASI,< 20 TAHUN,0.0,JIWA,2012
68,32,JAWA BARAT,3275,KOTA BEKASI,20-34 TAHUN,3.0,JIWA,2012
69,32,JAWA BARAT,3275,KOTA BEKASI,>=35 TAHUN,6.0,JIWA,2012
70,32,JAWA BARAT,3276,KOTA DEPOK,< 20 TAHUN,0.0,JIWA,2012
71,32,JAWA BARAT,3276,KOTA DEPOK,20-34 TAHUN,3.0,JIWA,2012
72,32,JAWA BARAT,3276,KOTA DEPOK,>=35 TAHUN,5.0,JIWA,2012
73,32,JAWA BARAT,3277,KOTA CIMAHI,< 20 TAHUN,0.0,JIWA,2012
74,32,JAWA BARAT,3277,KOTA CIMAHI,20-34 TAHUN,3.0,JIWA,2012
75,32,JAWA BARAT,3277,KOTA CIMAHI,>=35 TAHUN,1.0,JIWA,2012
76,32,JAWA BARAT,3278,KOTA TASIKMALAYA,< 20 TAHUN,1.0,JIWA,2012
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,20-34 TAHUN,4.0,JIWA,2012
78,32,JAWA BARAT,3278,KOTA TASIKMALAYA,>=35 TAHUN,2.0,JIWA,2012
79,32,JAWA BARAT,3279,KOTA BANJAR,< 20 TAHUN,0.0,JIWA,2012
80,32,JAWA BARAT,3279,KOTA BANJAR,20-34 TAHUN,0.0,JIWA,2012
81,32,JAWA BARAT,3279,KOTA BANJAR,>=35 TAHUN,0.0,JIWA,2012
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,< 20 TAHUN,0.0,JIWA,2013
83,32,JAWA BARAT,3201,KABUPATEN BOGOR,20-34 TAHUN,8.0,JIWA,2013
84,32,JAWA BARAT,3201,KABUPATEN BOGOR,>= 35 TAHUN,0.0,JIWA,2013
85,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,< 20 TAHUN,2.0,JIWA,2013
86,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20-34 TAHUN,11.0,JIWA,2013
87,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,>= 35 TAHUN,6.0,JIWA,2013
88,32,JAWA BARAT,3203,KABUPATEN CIANJUR,< 20 TAHUN,2.0,JIWA,2013
89,32,JAWA BARAT,3203,KABUPATEN CIANJUR,20-34 TAHUN,6.0,JIWA,2013
90,32,JAWA BARAT,3203,KABUPATEN CIANJUR,>= 35 TAHUN,3.0,JIWA,2013
91,32,JAWA BARAT,3204,KABUPATEN BANDUNG,< 20 TAHUN,0.0,JIWA,2013
92,32,JAWA BARAT,3204,KABUPATEN BANDUNG,20-34 TAHUN,5.0,JIWA,2013
93,32,JAWA BARAT,3204,KABUPATEN BANDUNG,>= 35 TAHUN,1.0,JIWA,2013
94,32,JAWA BARAT,3205,KABUPATEN GARUT,< 20 TAHUN,3.0,JIWA,2013
95,32,JAWA BARAT,3205,KABUPATEN GARUT,20-34 TAHUN,2.0,JIWA,2013
96,32,JAWA BARAT,3205,KABUPATEN GARUT,>= 35 TAHUN,4.0,JIWA,2013
97,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,< 20 TAHUN,1.0,JIWA,2013
98,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20-34 TAHUN,5.0,JIWA,2013
99,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,>= 35 TAHUN,2.0,JIWA,2013
100,32,JAWA BARAT,3207,KABUPATEN CIAMIS,< 20 TAHUN,0.0,JIWA,2013
101,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20-34 TAHUN,1.0,JIWA,2013
102,32,JAWA BARAT,3207,KABUPATEN CIAMIS,>= 35 TAHUN,3.0,JIWA,2013
103,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,< 20 TAHUN,0.0,JIWA,2013
104,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20-34 TAHUN,4.0,JIWA,2013
105,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,>= 35 TAHUN,3.0,JIWA,2013
106,32,JAWA BARAT,3209,KABUPATEN CIREBON,< 20 TAHUN,1.0,JIWA,2013
107,32,JAWA BARAT,3209,KABUPATEN CIREBON,20-34 TAHUN,12.0,JIWA,2013
108,32,JAWA BARAT,3209,KABUPATEN CIREBON,>= 35 TAHUN,7.0,JIWA,2013
109,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,< 20 TAHUN,1.0,JIWA,2013
110,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20-34 TAHUN,1.0,JIWA,2013
111,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,>= 35 TAHUN,0.0,JIWA,2013
112,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,< 20 TAHUN,0.0,JIWA,2013
113,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20-34 TAHUN,4.0,JIWA,2013
114,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,>= 35 TAHUN,5.0,JIWA,2013
115,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,< 20 TAHUN,1.0,JIWA,2013
116,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,20-34 TAHUN,9.0,JIWA,2013
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,>= 35 TAHUN,5.0,JIWA,2013
118,32,JAWA BARAT,3213,KABUPATEN SUBANG,< 20 TAHUN,2.0,JIWA,2013
119,32,JAWA BARAT,3213,KABUPATEN SUBANG,20-34 TAHUN,0.0,JIWA,2013
120,32,JAWA BARAT,3213,KABUPATEN SUBANG,>= 35 TAHUN,3.0,JIWA,2013
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,< 20 TAHUN,0.0,JIWA,2013
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,20-34 TAHUN,1.0,JIWA,2013
123,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,>= 35 TAHUN,1.0,JIWA,2013
124,32,JAWA BARAT,3215,KABUPATEN KARAWANG,< 20 TAHUN,4.0,JIWA,2013
125,32,JAWA BARAT,3215,KABUPATEN KARAWANG,20-34 TAHUN,12.0,JIWA,2013
126,32,JAWA BARAT,3215,KABUPATEN KARAWANG,>= 35 TAHUN,3.0,JIWA,2013
127,32,JAWA BARAT,3216,KABUPATEN BEKASI,< 20 TAHUN,0.0,JIWA,2013
128,32,JAWA BARAT,3216,KABUPATEN BEKASI,20-34 TAHUN,3.0,JIWA,2013
129,32,JAWA BARAT,3216,KABUPATEN BEKASI,>= 35 TAHUN,0.0,JIWA,2013
130,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,< 20 TAHUN,1.0,JIWA,2013
131,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20-34 TAHUN,2.0,JIWA,2013
132,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,>= 35 TAHUN,1.0,JIWA,2013
133,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,< 20 TAHUN,,JIWA,2013
134,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,20-34 TAHUN,,JIWA,2013
135,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,>= 35 TAHUN,,JIWA,2013
136,32,JAWA BARAT,3271,KOTA BOGOR,< 20 TAHUN,0.0,JIWA,2013
137,32,JAWA BARAT,3271,KOTA BOGOR,20-34 TAHUN,4.0,JIWA,2013
138,32,JAWA BARAT,3271,KOTA BOGOR,>= 35 TAHUN,1.0,JIWA,2013
139,32,JAWA BARAT,3272,KOTA SUKABUMI,< 20 TAHUN,0.0,JIWA,2013
140,32,JAWA BARAT,3272,KOTA SUKABUMI,20-34 TAHUN,2.0,JIWA,2013
141,32,JAWA BARAT,3272,KOTA SUKABUMI,>= 35 TAHUN,1.0,JIWA,2013
142,32,JAWA BARAT,3273,KOTA BANDUNG,< 20 TAHUN,,JIWA,2013
143,32,JAWA BARAT,3273,KOTA BANDUNG,20-34 TAHUN,,JIWA,2013
144,32,JAWA BARAT,3273,KOTA BANDUNG,>= 35 TAHUN,,JIWA,2013
145,32,JAWA BARAT,3274,KOTA CIREBON,< 20 TAHUN,0.0,JIWA,2013
146,32,JAWA BARAT,3274,KOTA CIREBON,20-34 TAHUN,0.0,JIWA,2013
147,32,JAWA BARAT,3274,KOTA CIREBON,>= 35 TAHUN,0.0,JIWA,2013
148,32,JAWA BARAT,3275,KOTA BEKASI,< 20 TAHUN,0.0,JIWA,2013
149,32,JAWA BARAT,3275,KOTA BEKASI,20-34 TAHUN,3.0,JIWA,2013
150,32,JAWA BARAT,3275,KOTA BEKASI,>= 35 TAHUN,2.0,JIWA,2013
151,32,JAWA BARAT,3276,KOTA DEPOK,< 20 TAHUN,0.0,JIWA,2013
152,32,JAWA BARAT,3276,KOTA DEPOK,20-34 TAHUN,3.0,JIWA,2013
153,32,JAWA BARAT,3276,KOTA DEPOK,>= 35 TAHUN,0.0,JIWA,2013
154,32,JAWA BARAT,3277,KOTA CIMAHI,< 20 TAHUN,0.0,JIWA,2013
155,32,JAWA BARAT,3277,KOTA CIMAHI,20-34 TAHUN,0.0,JIWA,2013
156,32,JAWA BARAT,3277,KOTA CIMAHI,>= 35 TAHUN,1.0,JIWA,2013
157,32,JAWA BARAT,3278,KOTA TASIKMALAYA,< 20 TAHUN,0.0,JIWA,2013
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,20-34 TAHUN,2.0,JIWA,2013
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,>= 35 TAHUN,3.0,JIWA,2013
160,32,JAWA BARAT,3279,KOTA BANJAR,< 20 TAHUN,0.0,JIWA,2013
161,32,JAWA BARAT,3279,KOTA BANJAR,20-34 TAHUN,1.0,JIWA,2013
162,32,JAWA BARAT,3279,KOTA BANJAR,>= 35 TAHUN,0.0,JIWA,2013
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,< 20 TAHUN,2.0,JIWA,2014
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,20-34 TAHUN,10.0,JIWA,2014
165,32,JAWA BARAT,3201,KABUPATEN BOGOR,>= 35 TAHUN,4.0,JIWA,2014
166,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,< 20 TAHUN,1.0,JIWA,2014
167,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20-34 TAHUN,7.0,JIWA,2014
168,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,>= 35 TAHUN,2.0,JIWA,2014
169,32,JAWA BARAT,3203,KABUPATEN CIANJUR,< 20 TAHUN,1.0,JIWA,2014
170,32,JAWA BARAT,3203,KABUPATEN CIANJUR,20-34 TAHUN,6.0,JIWA,2014
171,32,JAWA BARAT,3203,KABUPATEN CIANJUR,>= 35 TAHUN,0.0,JIWA,2014
172,32,JAWA BARAT,3204,KABUPATEN BANDUNG,< 20 TAHUN,3.0,JIWA,2014
173,32,JAWA BARAT,3204,KABUPATEN BANDUNG,20-34 TAHUN,1.0,JIWA,2014
174,32,JAWA BARAT,3204,KABUPATEN BANDUNG,>= 35 TAHUN,4.0,JIWA,2014
175,32,JAWA BARAT,3205,KABUPATEN GARUT,< 20 TAHUN,1.0,JIWA,2014
176,32,JAWA BARAT,3205,KABUPATEN GARUT,20-34 TAHUN,4.0,JIWA,2014
177,32,JAWA BARAT,3205,KABUPATEN GARUT,>= 35 TAHUN,7.0,JIWA,2014
178,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,< 20 TAHUN,1.0,JIWA,2014
179,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20-34 TAHUN,9.0,JIWA,2014
180,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,>= 35 TAHUN,2.0,JIWA,2014
181,32,JAWA BARAT,3207,KABUPATEN CIAMIS,< 20 TAHUN,2.0,JIWA,2014
182,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20-34 TAHUN,4.0,JIWA,2014
183,32,JAWA BARAT,3207,KABUPATEN CIAMIS,>= 35 TAHUN,3.0,JIWA,2014
184,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,< 20 TAHUN,1.0,JIWA,2014
185,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20-34 TAHUN,10.0,JIWA,2014
186,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,>= 35 TAHUN,3.0,JIWA,2014
187,32,JAWA BARAT,3209,KABUPATEN CIREBON,< 20 TAHUN,0.0,JIWA,2014
188,32,JAWA BARAT,3209,KABUPATEN CIREBON,20-34 TAHUN,5.0,JIWA,2014
189,32,JAWA BARAT,3209,KABUPATEN CIREBON,>= 35 TAHUN,1.0,JIWA,2014
190,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,< 20 TAHUN,1.0,JIWA,2014
191,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20-34 TAHUN,2.0,JIWA,2014
192,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,>= 35 TAHUN,0.0,JIWA,2014
193,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,< 20 TAHUN,0.0,JIWA,2014
194,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20-34 TAHUN,0.0,JIWA,2014
195,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,>= 35 TAHUN,1.0,JIWA,2014
196,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,< 20 TAHUN,1.0,JIWA,2014
197,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,20-34 TAHUN,19.0,JIWA,2014
198,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,>= 35 TAHUN,2.0,JIWA,2014
199,32,JAWA BARAT,3213,KABUPATEN SUBANG,< 20 TAHUN,1.0,JIWA,2014
200,32,JAWA BARAT,3213,KABUPATEN SUBANG,20-34 TAHUN,1.0,JIWA,2014
201,32,JAWA BARAT,3213,KABUPATEN SUBANG,>= 35 TAHUN,0.0,JIWA,2014
202,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,< 20 TAHUN,2.0,JIWA,2014
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,20-34 TAHUN,5.0,JIWA,2014
204,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,>= 35 TAHUN,1.0,JIWA,2014
205,32,JAWA BARAT,3215,KABUPATEN KARAWANG,< 20 TAHUN,1.0,JIWA,2014
206,32,JAWA BARAT,3215,KABUPATEN KARAWANG,20-34 TAHUN,12.0,JIWA,2014
207,32,JAWA BARAT,3215,KABUPATEN KARAWANG,>= 35 TAHUN,2.0,JIWA,2014
208,32,JAWA BARAT,3216,KABUPATEN BEKASI,< 20 TAHUN,0.0,JIWA,2014
209,32,JAWA BARAT,3216,KABUPATEN BEKASI,20-34 TAHUN,3.0,JIWA,2014
210,32,JAWA BARAT,3216,KABUPATEN BEKASI,>= 35 TAHUN,1.0,JIWA,2014
211,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,< 20 TAHUN,0.0,JIWA,2014
212,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20-34 TAHUN,1.0,JIWA,2014
213,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,>= 35 TAHUN,2.0,JIWA,2014
214,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,< 20 TAHUN,0.0,JIWA,2014
215,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,20-34 TAHUN,1.0,JIWA,2014
216,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,>= 35 TAHUN,0.0,JIWA,2014
217,32,JAWA BARAT,3271,KOTA BOGOR,< 20 TAHUN,0.0,JIWA,2014
218,32,JAWA BARAT,3271,KOTA BOGOR,20-34 TAHUN,1.0,JIWA,2014
219,32,JAWA BARAT,3271,KOTA BOGOR,>= 35 TAHUN,0.0,JIWA,2014
220,32,JAWA BARAT,3272,KOTA SUKABUMI,< 20 TAHUN,0.0,JIWA,2014
221,32,JAWA BARAT,3272,KOTA SUKABUMI,20-34 TAHUN,3.0,JIWA,2014
222,32,JAWA BARAT,3272,KOTA SUKABUMI,>= 35 TAHUN,0.0,JIWA,2014
223,32,JAWA BARAT,3273,KOTA BANDUNG,< 20 TAHUN,0.0,JIWA,2014
224,32,JAWA BARAT,3273,KOTA BANDUNG,20-34 TAHUN,7.0,JIWA,2014
225,32,JAWA BARAT,3273,KOTA BANDUNG,>= 35 TAHUN,3.0,JIWA,2014
226,32,JAWA BARAT,3274,KOTA CIREBON,< 20 TAHUN,0.0,JIWA,2014
227,32,JAWA BARAT,3274,KOTA CIREBON,20-34 TAHUN,1.0,JIWA,2014
228,32,JAWA BARAT,3274,KOTA CIREBON,>= 35 TAHUN,1.0,JIWA,2014
229,32,JAWA BARAT,3275,KOTA BEKASI,< 20 TAHUN,5.0,JIWA,2014
230,32,JAWA BARAT,3275,KOTA BEKASI,20-34 TAHUN,0.0,JIWA,2014
231,32,JAWA BARAT,3275,KOTA BEKASI,>= 35 TAHUN,0.0,JIWA,2014
232,32,JAWA BARAT,3276,KOTA DEPOK,< 20 TAHUN,0.0,JIWA,2014
233,32,JAWA BARAT,3276,KOTA DEPOK,20-34 TAHUN,4.0,JIWA,2014
234,32,JAWA BARAT,3276,KOTA DEPOK,>= 35 TAHUN,0.0,JIWA,2014
235,32,JAWA BARAT,3277,KOTA CIMAHI,< 20 TAHUN,1.0,JIWA,2014
236,32,JAWA BARAT,3277,KOTA CIMAHI,20-34 TAHUN,1.0,JIWA,2014
237,32,JAWA BARAT,3277,KOTA CIMAHI,>= 35 TAHUN,0.0,JIWA,2014
238,32,JAWA BARAT,3278,KOTA TASIKMALAYA,< 20 TAHUN,0.0,JIWA,2014
239,32,JAWA BARAT,3278,KOTA TASIKMALAYA,20-34 TAHUN,7.0,JIWA,2014
240,32,JAWA BARAT,3278,KOTA TASIKMALAYA,>= 35 TAHUN,4.0,JIWA,2014
241,32,JAWA BARAT,3279,KOTA BANJAR,< 20 TAHUN,0.0,JIWA,2014
242,32,JAWA BARAT,3279,KOTA BANJAR,20-34 TAHUN,0.0,JIWA,2014
243,32,JAWA BARAT,3279,KOTA BANJAR,>= 35 TAHUN,0.0,JIWA,2014
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,< 20 TAHUN,3.0,JIWA,2015
245,32,JAWA BARAT,3201,KABUPATEN BOGOR,20-34 TAHUN,14.0,JIWA,2015
246,32,JAWA BARAT,3201,KABUPATEN BOGOR,>= 35 TAHUN,3.0,JIWA,2015
247,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,< 20 TAHUN,2.0,JIWA,2015
248,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20-34 TAHUN,9.0,JIWA,2015
249,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,>= 35 TAHUN,2.0,JIWA,2015
250,32,JAWA BARAT,3203,KABUPATEN CIANJUR,< 20 TAHUN,,JIWA,2015
251,32,JAWA BARAT,3203,KABUPATEN CIANJUR,20-34 TAHUN,,JIWA,2015
252,32,JAWA BARAT,3203,KABUPATEN CIANJUR,>= 35 TAHUN,,JIWA,2015
253,32,JAWA BARAT,3204,KABUPATEN BANDUNG,< 20 TAHUN,1.0,JIWA,2015
254,32,JAWA BARAT,3204,KABUPATEN BANDUNG,20-34 TAHUN,7.0,JIWA,2015
255,32,JAWA BARAT,3204,KABUPATEN BANDUNG,>= 35 TAHUN,4.0,JIWA,2015
256,32,JAWA BARAT,3205,KABUPATEN GARUT,< 20 TAHUN,2.0,JIWA,2015
257,32,JAWA BARAT,3205,KABUPATEN GARUT,20-34 TAHUN,5.0,JIWA,2015
258,32,JAWA BARAT,3205,KABUPATEN GARUT,>= 35 TAHUN,4.0,JIWA,2015
259,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,< 20 TAHUN,2.0,JIWA,2015
260,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20-34 TAHUN,13.0,JIWA,2015
261,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,>= 35 TAHUN,4.0,JIWA,2015
262,32,JAWA BARAT,3207,KABUPATEN CIAMIS,< 20 TAHUN,1.0,JIWA,2015
263,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20-34 TAHUN,1.0,JIWA,2015
264,32,JAWA BARAT,3207,KABUPATEN CIAMIS,>= 35 TAHUN,3.0,JIWA,2015
265,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,< 20 TAHUN,0.0,JIWA,2015
266,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20-34 TAHUN,4.0,JIWA,2015
267,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,>= 35 TAHUN,2.0,JIWA,2015
268,32,JAWA BARAT,3209,KABUPATEN CIREBON,< 20 TAHUN,0.0,JIWA,2015
269,32,JAWA BARAT,3209,KABUPATEN CIREBON,20-34 TAHUN,15.0,JIWA,2015
