type_operasi,area_operasi,jumlah_bus,jumlah_penumpang
RS Wisma Atlet (Vaksinator Nakes),KELAPA GADING,0,0
RS Wisma Atlet (Vaksinator Nakes),KOJA,26,313
RS Wisma Atlet (Vaksinator Nakes),PADEMANGAN,37,513
RS Wisma Atlet (Vaksinator Nakes),PENJARINGAN,10,154
RS Wisma Atlet (Vaksinator Nakes),TANJUNG PRIOK,0,0
RS Wisma Atlet (Vaksinator Nakes),CAKUNG,2,19
RS Wisma Atlet (Vaksinator Nakes),CIPAYUNG,34,398
RS Wisma Atlet (Vaksinator Nakes),CIRACAS,0,0
RS Wisma Atlet (Vaksinator Nakes),DUREN SAWIT,38,482
RS Wisma Atlet (Vaksinator Nakes),JATINEGARA,0,0
RS Wisma Atlet (Vaksinator Nakes),KRAMAT JATI,0,0
RS Wisma Atlet (Vaksinator Nakes),MAKASAR,2,20
RS Wisma Atlet (Vaksinator Nakes),MATRAMAN,0,0
RS Wisma Atlet (Vaksinator Nakes),PASAR REBO,0,0
RS Wisma Atlet (Vaksinator Nakes),PULO GADUNG,0,0
RS Wisma Atlet (Vaksinator Nakes),CEMPAKA PUTIH,2,10
RS Wisma Atlet (Vaksinator Nakes),GAMBIR,4,19
RS Wisma Atlet (Vaksinator Nakes),JOHAR BARU,7,35
RS Wisma Atlet (Vaksinator Nakes),KEMAYORAN,9,45
RS Wisma Atlet (Vaksinator Nakes),MENTENG,0,0
RS Wisma Atlet (Vaksinator Nakes),SAWAH BESAR,16,105
RS Wisma Atlet (Vaksinator Nakes),SENEN,2,10
RS Wisma Atlet (Vaksinator Nakes),TANAH ABANG,32,141
RS Wisma Atlet (Vaksinator Nakes),CILANDAK,0,0
RS Wisma Atlet (Vaksinator Nakes),JAGAKARSA,0,0
RS Wisma Atlet (Vaksinator Nakes),KEBAYORAN BARU,0,0
RS Wisma Atlet (Vaksinator Nakes),KEBAYORAN LAMA,0,0
RS Wisma Atlet (Vaksinator Nakes),MAMPANG PRAPATAN,0,0
RS Wisma Atlet (Vaksinator Nakes),PANCORAN,0,0
RS Wisma Atlet (Vaksinator Nakes),PASAR MINGGU,0,0
RS Wisma Atlet (Vaksinator Nakes),PESANGGRAHAN,0,0
RS Wisma Atlet (Vaksinator Nakes),SETIABUDI,0,0
RS Wisma Atlet (Vaksinator Nakes),TEBET,0,0
RS Wisma Atlet (Vaksinator Nakes),CENGKARENG,78,926
RS Wisma Atlet (Vaksinator Nakes),GROGOL PETAMBURAN,0,0
RS Wisma Atlet (Vaksinator Nakes),KALIDERES,0,0
RS Wisma Atlet (Vaksinator Nakes),KEBON JERUK,0,0
RS Wisma Atlet (Vaksinator Nakes),KEMBANGAN,0,0
RS Wisma Atlet (Vaksinator Nakes),PALMERAH,0,0
RS Wisma Atlet (Vaksinator Nakes),TAMAN SARI,0,0
RS Wisma Atlet (Vaksinator Nakes),TAMBORA,0,0
SUDIN PEMUDA & OLAHRAGA JAKARTA UTARA,HOTEL C’ONE PULOMAS,60,2
SUDIN PEMUDA & OLAHRAGA JAKARTA UTARA,KANTOR WALIKOTA JAKARTA UTARA,57,2
SUDIN PEMUDA & OLAHRAGA JAKARTA PUSAT,HOTEL YELLOW HARMONI,62,2
SUDIN PEMUDA & OLAHRAGA JAKARTA UTARA,KANTOR WALIKOTA JAKARTA UTARA,90,2
SUDIN PEMUDA & OLAHRAGA JAKARTA PUSAT,KANTOR WALIKOTA JAKARTA PUSAT,66,2
SUDIN PEMUDA & OLAHRAGA JAKARTA SELATAN,KANTOR WALIKOTA JAKARTA SELATAN,27,1
PESERTA VAKSINASI KELILING BUS SEKOLAH,CILINCING,3,284
PESERTA VAKSINASI KELILING BUS SEKOLAH,KELAPA GADING,3,183
PESERTA VAKSINASI KELILING BUS SEKOLAH,KOJA,3,349
PESERTA VAKSINASI KELILING BUS SEKOLAH,PADEMANGAN,3,219
PESERTA VAKSINASI KELILING BUS SEKOLAH,PENJARINGAN,3,128
PESERTA VAKSINASI KELILING BUS SEKOLAH,TANJUNG PRIOK,3,650
PESERTA VAKSINASI KELILING BUS SEKOLAH,CAKUNG,3,1012
PESERTA VAKSINASI KELILING BUS SEKOLAH,CIPAYUNG,3,498
PESERTA VAKSINASI KELILING BUS SEKOLAH,CIRACAS,3,0
PESERTA VAKSINASI KELILING BUS SEKOLAH,DUREN SAWIT,3,95
PESERTA VAKSINASI KELILING BUS SEKOLAH,JATINEGARA,3,104
PESERTA VAKSINASI KELILING BUS SEKOLAH,KRAMAT JATI,3,622
PESERTA VAKSINASI KELILING BUS SEKOLAH,MAKASAR,3,0
PESERTA VAKSINASI KELILING BUS SEKOLAH,MATRAMAN,3,0
PESERTA VAKSINASI KELILING BUS SEKOLAH,PASAR REBO,3,394
PESERTA VAKSINASI KELILING BUS SEKOLAH,PULO GADUNG,3,381
PESERTA VAKSINASI KELILING BUS SEKOLAH,CEMPAKA PUTIH,3,0
PESERTA VAKSINASI KELILING BUS SEKOLAH,GAMBIR,3,256
PESERTA VAKSINASI KELILING BUS SEKOLAH,JOHAR BARU,3,206
PESERTA VAKSINASI KELILING BUS SEKOLAH,KEMAYORAN,3,120
PESERTA VAKSINASI KELILING BUS SEKOLAH,MENTENG,3,689
PESERTA VAKSINASI KELILING BUS SEKOLAH,SAWAH BESAR,3,131
PESERTA VAKSINASI KELILING BUS SEKOLAH,SENEN,3,0
PESERTA VAKSINASI KELILING BUS SEKOLAH,TANAH ABANG,3,0
PESERTA VAKSINASI KELILING BUS SEKOLAH,CILANDAK,3,359
PESERTA VAKSINASI KELILING BUS SEKOLAH,JAGAKARSA,3,331
PESERTA VAKSINASI KELILING BUS SEKOLAH,KEBAYORAN BARU,3,160
PESERTA VAKSINASI KELILING BUS SEKOLAH,KEBAYORAN LAMA,3,0
PESERTA VAKSINASI KELILING BUS SEKOLAH,MAMPANG PRAPATAN,3,0
PESERTA VAKSINASI KELILING BUS SEKOLAH,PANCORAN,3,386
PESERTA VAKSINASI KELILING BUS SEKOLAH,PASAR MINGGU,3,159
PESERTA VAKSINASI KELILING BUS SEKOLAH,PESANGGRAHAN,3,0
PESERTA VAKSINASI KELILING BUS SEKOLAH,SETIABUDI,3,0
PESERTA VAKSINASI KELILING BUS SEKOLAH,TEBET,3,130
PESERTA VAKSINASI KELILING BUS SEKOLAH,CENGKARENG,3,80
PESERTA VAKSINASI KELILING BUS SEKOLAH,GROGOL PETAMBURAN,3,0
PESERTA VAKSINASI KELILING BUS SEKOLAH,KALIDERES,3,303
PESERTA VAKSINASI KELILING BUS SEKOLAH,KEBON JERUK,3,528
PESERTA VAKSINASI KELILING BUS SEKOLAH,KEMBANGAN,3,98
PESERTA VAKSINASI KELILING BUS SEKOLAH,PALMERAH,3,559
PESERTA VAKSINASI KELILING BUS SEKOLAH,TAMAN SARI,3,100
PESERTA VAKSINASI KELILING BUS SEKOLAH,TAMBORA,3,433
PASIEN COVID19 YANG SUDAH SELESAI ISOLASI DARI RUSUN NAGRAK,JAKARTA UTARA,1,39
PASIEN COVID19 YANG SUDAH SELESAI ISOLASI DARI RUSUN NAGRAK,JAKARTA TIMUR,1,13
PASIEN COVID19 YANG SUDAH SELESAI ISOLASI DARI RUSUN NAGRAK,JAKARTA PUSAT,1,12
PASIEN COVID19 YANG SUDAH SELESAI ISOLASI DARI RUSUN NAGRAK,JAKARTA SELATAN,1,7
PASIEN COVID19 YANG SUDAH SELESAI ISOLASI DARI RUSUN NAGRAK,JAKARTA BARAT,1,6
RUTE REGULER,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),6,2
RUTE REGULER,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),4,2
RUTE REGULER,RUTE 3 (GANDARIA - H E K - TMII),5,2
RUTE REGULER,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),8,2
RUTE REGULER,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),8,2
RUTE REGULER,RUTE 5 (KP.MELAYU - TMII - CEGER),5,2
RUTE REGULER,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),5,2
RUTE REGULER,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),6,2
RUTE REGULER,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),5,2
RUTE REGULER,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),6,2
RUTE REGULER,RUTE 10 (KP.MELAYU - LAP.BANTENG),10,2
RUTE REGULER,RUTE 11 (BLOK M - CILEDUG),26,2
RUTE REGULER,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),10,2
RUTE REGULER,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),2,2
RUTE REGULER,RUTE 14 (BLOK M - PD.LABU),3,2
RUTE REGULER,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),0,2
RUTE REGULER,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),0,2
RUTE REGULER,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),0,2
RUTE REGULER,RUTE 18 (MERUYA - CILEDUG),0,2
RUTE REGULER,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),19,2
RUTE REGULER,RUTE 20 (KEMANGGISAN - DAAN MOGOT),6,2
RUTE ZONASI,ZONASI 1 (PD.GEDE - CONDET - RANCO),21,2
RUTE ZONASI,ZONASI 2 (KP.MELAYU - RAWAMANGUN),14,2
RUTE ZONASI,ZONASI 3 (TERMINAL KALIDERES - KAMAL),13,2
RUTE ZONASI,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),3,2
RUTE ZONASI,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),12,2
RUTE ZONASI,ZONASI 6 (CAWANG - RAGUNAN),14,2
RUTE ZONASI,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),8,2
RUTE ZONASI,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),0,2
RUTE ZONASI,ZONASI 9 (ROROTAN - MARUNDA),32,2
RUTE ZONASI,ZONASI 10 (RUSUNAWA - CILINCING),2,2
RUTE ZONASI,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),5,2
RUTE ZONASI,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),7,2
RUTE ZONASI,ZONASI 13 (CIPEDAK – SRENGSENG SAWAH),6,2
