type_operasi,area_operasi,jumlah_bus,jumlah_penumpang
Puskesmas Papanggo,RS Wisma Atlet,1,12
Puskesmas Kramat Jati,RS Wisma Atlet,1,8
Puskesmas Cipayung,RS Wisma Atlet,1,11
Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,7
Puskesmas Ciracas,RS Wisma Atlet,1,17
Puskesmas Pasar Minggu Tahap I,RS Wisma Atlet,1,38
Puskesmas Taman Sari,RS Wisma Atlet,1,7
Puskesmas Pasar Minggu Tahap II,RS Wisma Atlet,1,18
Puskesmas Cempaka Putih,RS Wisma Atlet,1,7
Puskesmas Cilandak,RS Wisma Atlet,1,9
Puskesmas Papanggo,RS Wisma Atlet,1,14
Puskesmas Pasar Minggu,RS Wisma Atlet,1,10
Puskesmas Duren Sawit,RS Wisma Atlet,1,10
Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,22
Puskesmas Makasar,RS Wisma Atlet,1,16
Puskesmas Kebayoran Lama,RS Wisma Atlet,1,10
Puskesmas Ciracas,RS Wisma Atlet,1,34
Puskesmas Pasar Minggu Tahap II,RS Wisma Atlet,1,16
Puskesmas Pancoran,RS Wisma Atlet,1,12
Puskesmas Papanggo,RS Wisma Atlet,1,18
Puskesmas Cilandak,RS Wisma Atlet,1,9
Puskesmas Cempaka Putih,RS Wisma Atlet,1,11
Puskesmas Cipayung,RS Wisma Atlet,1,17
Puskesmas Kramat Jati,RS Wisma Atlet,1,27
Puskesmas Cilincing,RS Wisma Atlet,1,11
Puskesmas Tebet,RS Wisma Atlet,1,15
Puskesmas Kebayoran Lama,RS Wisma Atlet,1,9
Puskesmas Duren Sawit,RS Wisma Atlet,1,14
Puskesmas Ciracas,RS Wisma Atlet,1,36
Puskesmas Pasar Minggu,RS Wisma Atlet,1,35
Puskesmas Pancoran,RS Wisma Atlet,1,28
Puskesmas Cempaka Putih,RS Wisma Atlet,1,9
Puskesmas Cilandak,RS Wisma Atlet,1,15
Puskesmas Cipayung,RS Wisma Atlet,1,14
Puskesmas Pulogadung,RS Wisma Atlet,1,8
Puskesmas Penjaringan,RS Wisma Atlet,1,9
Puskesmas Papanggo,RS Wisma Atlet,1,14
Puskesmas Kramat Jati,RS Wisma Atlet,1,16
Puskesmas Makasar,RS Wisma Atlet,1,10
Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,9
Puskesmas Cilincing,RS Wisma Atlet,1,20
Puskesmas Pasar Minggu,RS Wisma Atlet,1,8
Puskesmas Duren Sawit,RS Wisma Atlet,1,21
Puskesmas Tebet,RS Wisma Atlet,1,15
Puskesmas Ciracas,RS Wisma Atlet,1,19
Puskesmas Penjaringan,RS Wisma Atlet,1,10
Puskesmas Pasar Minggu Tahap II,RS Wisma Atlet,1,8
Puskesmas Pancoran,RS Wisma Atlet,1,15
Puskesmas Papanggo,RS Wisma Atlet,1,20
Puskesmas Pasar Minggu,RS Wisma Atlet,1,15
Puskesmas Duren Sawit,RS Wisma Atlet,1,7
Puskesmas Ciracas,RS Wisma Atlet,1,34
Puskesmas Cempaka Putih,RS Wisma Atlet,1,8
Puskesmas Tebet,RS Wisma Atlet,1,15
Puskesmas Rawabadak selatan,RS Wisma Atlet,1,15
Puskesmas Kramat Jati,RS Wisma Atlet,1,16
Puskesmas Kebayoran Lama,RS Wisma Atlet,1,9
Puskesmas Makasar,RS Wisma Atlet,1,10
Puskesmas Penjaringan,RS Wisma Atlet,1,10
Puskesmas Kemayoran,RS Wisma Atlet,1,18
Puskesmas Pasar Minggu,RS Wisma Atlet,1,17
Puskesmas Cilincing,RS Wisma Atlet,1,10
Puskesmas Ciracas,RS Wisma Atlet,1,33
Puskesmas Pancoran,RS Wisma Atlet,1,20
Puskesmas Cipayung,RS Wisma Atlet,1,8
Puskesmas Taman Sari,RS Wisma Atlet,1,6
Puskesmas Tanjung Priok,RS Wisma Atlet,1,10
Puskesmas Pulogadung,RS Wisma Atlet,1,21
Puskesmas Kramat Jati,RS Wisma Atlet,1,6
Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,9
Puskesmas Duren Sawit,RS Wisma Atlet,1,7
Puskesmas Makasar,RS Wisma Atlet,1,18
Puskesmas Pasar Minggu,RS Wisma Atlet,1,16
Puskesmas Ciracas,RS Wisma Atlet,1,11
Puskesmas Tebet,RS Wisma Atlet,1,11
Puskesmas Pancoran,RS Wisma Atlet,1,10
Puskesmas Jagakarsa,RS Wisma Atlet,1,7
Puskesmas Kramat Jati Tahap II,RS Wisma Atlet,1,7
Puskesmas Duren Sawit,RS Wisma Atlet,1,15
Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,20
Puskesmas Matraman,RS Wisma Atlet,1,14
Puskesmas Ciracas,RS Wisma Atlet,1,34
Puskesmas Tebet,RS Wisma Atlet,1,9
Puskesmas Pasar Minggu,RS Wisma Atlet,1,14
Puskesmas Penjaringan,RS Wisma Atlet,1,6
Puskesmas Cilandak,RS Wisma Atlet,1,8
Puskesmas Pulogadung,RS Wisma Atlet,1,12
Puskesmas Tanjung Priok,RS Wisma Atlet,1,17
Puskesmas Kemayoran,RS Wisma Atlet,1,19
Puskesmas Pasar Minggu,RS Wisma Atlet,1,9
Puskesmas Kramat Jati,RS Wisma Atlet,1,15
Puskesmas Ciracas,RS Wisma Atlet,1,12
Puskesmas Cipayung,RS Wisma Atlet,1,15
Puskesmas Ciracas,RS Wisma Atlet,1,7
Puskesmas Pasar Minggu,RS Wisma Atlet,1,14
Puskesmas Duren Sawit,RS Wisma Atlet,1,12
Puskesmas Kebayoran Lama,RS Wisma Atlet,1,9
Puskesmas Pancoran,RS Wisma Atlet,1,25
Puskesmas Kramat Jati,RS Wisma Atlet,1,26
Puskesmas Grogol Petamburan,RS Wisma Atlet,1,23
Puskesmas Tanjung Priok,RS Wisma Atlet,1,14
Puskesmas Kramat Jati,RS Wisma Atlet,1,10
Puskesmas Makasar,RS Wisma Atlet,1,10
Puskesmas Kebayoran Lama,RS Wisma Atlet,1,12
Puskesmas Penjaringan,RS Wisma Atlet,1,3
Puskesmas Tebet,RS Wisma Atlet,1,22
Puskesmas Ciracas,RS Wisma Atlet,1,14
Puskesmas Kebayoran Lama Tahap II,RS Wisma Atlet,1,10
Puskesmas Ciracas,RS Wisma Atlet,1,6
Puskesmas Cempaka Putih,RS Wisma Atlet,1,9
Puskesmas duren Sawit,RS Wisma Atlet,1,8
Puskesmas Kramat Jati,RS Wisma Atlet,1,8
Puskesmas Pulogadung,RS Wisma Atlet,1,7
Puskesmas Ciracas,RS Wisma Atlet,1,28
Puskesmas Pasar Minggu,RS Wisma Atlet,1,10
Puskesmas Pancoran,RS Wisma Atlet,1,24
Puskesmas Kramat Jati Tahap II,RS Wisma Atlet,1,9
Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,7
Puskesmas Duren Sawit,RS Wisma Atlet,1,11
Puskesmas Tebet Tahap I,RS Wisma Atlet,1,8
Puskesmas Tebet Tahap II,RS Wisma Atlet,1,15
Puskesmas Pasar Minggu,RS Wisma Atlet,1,25
Puskesmas Ciracas,RS Wisma Atlet,1,17
Puskesmas Cipayung,RS Wisma Atlet,1,10
Puskesmas Tanjung Priok,RS Wisma Atlet,1,15
Puskesmas Cipayung,RS Wisma Atlet,1,10
Puskesmas Matraman,RS Wisma Atlet,1,22
Puskesmas Cempaka Putih,RS Wisma Atlet,1,9
Puskesmas Pasar Minggu,RS Wisma Atlet,1,20
Puskesmas Kramat Jati,RS Wisma Atlet,1,27
Puskesmas Makasar,RS Wisma Atlet,1,28
Puskesmas Duren Sawit,RS Wisma Atlet,1,6
Puskesmas Jagakarsa,RS Wisma Atlet,1,10
Puskesmas Ciracas,RS Wisma Atlet,1,26
Puskesmas Pancoran,RS Wisma Atlet,1,9
Puskesmas Pasar Minggu,RS Wisma Atlet,1,18
Puskesmas Tanjung Priok,RS Wisma Atlet,1,14
Puskesmas Kramat Jati,RS Wisma Atlet,1,11
Puskesmas Koja,RS Wisma Atlet,1,13
Puskesmas Ciracas,RS Wisma Atlet,1,32
Puskesmas Tebet,RS Wisma Atlet,1,8
Puskesmas Pasar Minggu,RS Wisma Atlet,1,28
Puskesmas Cilincing,RS Wisma Atlet,1,8
Puskesmas Mampang Prapatan,RS Wisma Atlet,1,8
Puskesmas Cipayung,RS Wisma Atlet,1,13
Puskesmas Clincing,RS Wisma Atlet,1,11
Puskesmas Ciracas,RS Wisma Atlet,1,25
Puskesmas Pasar Minggu,RS Wisma Atlet,1,11
Puskesmas Mampang Prapatan,RS Wisma Atlet,1,9
Puskesmas Cempaka Putih,RS Wisma Atlet,1,12
Puskesmas Duren Sawit,RS Wisma Atlet,1,15
Puskesmas Pasar Minggu,RS Wisma Atlet,1,12
Puskesmas Ciracas,RS Wisma Atlet,1,20
Puskesmas Kramat Jati,RS Wisma Atlet,1,8
Puskesmas Koja,RS Wisma Atlet,1,9
Puskesmas Duren Sawit,RS Wisma Atlet,1,10
Puskesmas Pasar Minggu,RS Wisma Atlet,1,11
Puskesmas Kebayoran Lama,RS Wisma Atlet,1,8
Puskesmas Pancoran,RS Wisma Atlet,1,10
Puskesmas Pasar Rebo,RS Wisma Atlet,1,10
Puskesmas Tebet Tahap I,RS Wisma Atlet,1,20
Puskesmas Duren Sawit,RS Wisma Atlet,1,6
Puskesmas Tebet,RS Wisma Atlet,1,15
Puskesmas Pasar Minggu,RS Wisma Atlet,1,9
Puskesmas Cempaka Putih,RS Wisma Atlet,1,11
Puskesmas Cipayung,RS Wisma Atlet,1,13
Puskesmas Koja,RS Wisma Atlet,1,17
Puskesmas Duren Sawit,RS Wisma Atlet,1,8
Puskesmas Kemayoran,RS Wisma Atlet,1,12
Puskesmas Pasar Minggu,RS Wisma Atlet,1,17
Puskesmas Pancoran,RS Wisma Atlet,1,14
Puskesmas Ciracas,RS Wisma Atlet,1,31
Puskesmas Jagakarsa,RS Wisma Atlet,1,11
Puskesmas Kramat Jati,RS Wisma Atlet,1,26
Puskesmas Pulo Gadung,RS Wisma Atlet,1,10
Puskesmas Duren Sawit,RS Wisma Atlet,1,13
Puskesmas Kebayoran Lama,RS Wisma Atlet,1,8
Puskesmas Koja,RS Wisma Atlet,1,15
Puskesmas Ciracas,RS Wisma Atlet,1,20
Puskesmas Kemayoran,RS Wisma Atlet,1,10
Puskesmas Cempaka Putih,RS Wisma Atlet,1,7
Puskesmas Pasar Minggu,RS Wisma Atlet,1,24
Puskesmas Kramat Jati,RS Wisma Atlet,1,10
Puskesmas Ciracas,RS Wisma Atlet,1,9
Puskesmas Tanjung Priok,RS Wisma Atlet,1,20
Puskesmas Tebet Tahap I,RS Wisma Atlet,1,10
Puskesmas Koja,RS Wisma Atlet,1,12
Puskesmas Tebet Tahap II,RS Wisma Atlet,1,10
Puskesmas Duren Sawit,RS Wisma Atlet,1,10
Puskesmas Ciracas,RS Wisma Atlet,1,12
Puskesmas Pancoran,RS Wisma Atlet,1,13
Puskesmas Kramat Jati,RS Wisma Atlet,1,15
Puskesmas Cipayung,RS Wisma Atlet,1,20
Puskesmas Pulo Gadung,RS Wisma Atlet,1,11
Puskesmas Makasar,RS Wisma Atlet,1,14
Puskesmas Kramat Jati,RS Wisma Atlet,1,38
Puskesmas Duren Sawit,RS Wisma Atlet,1,12
Puskesmas Kramat Jati,RS Wisma Atlet,1,9
Puskesmas Ciracas,RS Wisma Atlet,1,10
Puskesmas Pancoran,RS Wisma Atlet,1,13
Puskesmas Ciracas,RS Wisma Atlet,1,12
Puskesmas Pasar Minggu,RS Wisma Atlet,1,10
Puskesmas Cempaka Putih,RS Wisma Atlet,1,11
Puskesmas Kramat Jati,RS Wisma Atlet,1,6
Puskesmas Kebayoran Lama,RS Wisma Atlet,1,6
Puskesmas Pancoran,RS Wisma Atlet,1,9
Puskesmas Kramat Jati,RS Wisma Atlet,1,16
Puskesmas Duren Sawit,RS Wisma Atlet,1,10
Puskesmas Makasar,RS Wisma Atlet,1,13
Puskesmas Koja,RS Wisma Atlet,1,12
Puskesmas Ciracas,RS Wisma Atlet,1,26
Puskesmas Kemayoran,RS Wisma Atlet,1,16
